# Generated by bourbaki pagemap build. Do not edit.
# book=ac-i-iv-fr grammar=head-number pagination=continuous pdf_pages=361
pdf_page	chapter	page	confidence
1	I	3	interpolated
2	I	4	interpolated
3	I	5	interpolated
4	I	6	interpolated
5	I	7	interpolated
6	I	8	head
7	I	9	head
8	I	10	head
9	I	11	head
10	I	12	head
11	I	13	interpolated
12	I	14	head
13	I	15	head
14	I	16	head
15	I	17	head
16	I	18	head
17	I	19	head
18	I	20	head
19	I	21	head
20	I	22	head
21	I	23	head
22	I	24	head
23	I	25	head
24	I	26	head
25	I	27	head
26	I	28	head
27	I	29	head
28	I	30	head
29	I	31	head
30	I	32	head
31	I	33	head
32	I	34	head
33	I	35	head
34	I	36	head
35	I	37	head
36	I	38	head
37	I	39	head
38	I	40	head
39	I	41	head
40	I	42	head
41	I	43	interpolated
42	I	44	head
43	I	45	interpolated
44	I	46	head
45	I	47	interpolated
46	I	48	head
47	I	49	interpolated
48	I	50	head
49	I	51	interpolated
50	I	52	head
51	I	53	interpolated
52	I	54	head
53	I	55	head
54	I	56	head
55	I	57	head
56	I	58	interpolated
57	I	59	head
58	I	60	head
59	I	61	head
60	I	62	head
61	I	63	interpolated
62	I	64	head
63	I	65	head
64	I	66	head
65	I	67	head
66	I	68	head
67	II	69	interpolated
68	II	70	head
69	II	71	interpolated
70	II	72	head
71	II	73	interpolated
72	II	74	head
73	II	75	head
74	II	76	head
75	II	77	head
76	II	78	head
77	II	79	head
78	II	80	head
79	II	81	head
80	II	82	head
81	II	83	head
82	II	84	head
83	II	85	head
84	II	86	head
85	II	87	head
86	II	88	head
87	II	89	head
88	II	90	head
89	II	91	head
90	II	92	head
91	II	93	head
92	II	94	head
93	II	95	head
94	II	96	head
95	II	97	head
96	II	98	head
97	II	99	head
98	II	100	head
99	II	101	head
100	II	102	interpolated
101	II	103	interpolated
102	II	104	head
103	II	105	interpolated
104	II	106	head
105	II	107	interpolated
106	II	108	head
107	II	109	interpolated
108	II	110	head
109	II	111	interpolated
110	II	112	head
111	II	113	interpolated
112	II	114	head
113	II	115	interpolated
114	II	116	head
115	II	117	interpolated
116	II	118	head
117	II	119	interpolated
118	II	120	head
119	II	121	head
120	II	122	interpolated
121	II	123	interpolated
122	II	124	head
123	II	125	head
124	II	126	head
125	II	127	head
126	II	128	head
127	II	129	interpolated
128	II	130	head
129	II	131	interpolated
130	II	132	head
131	II	133	interpolated
132	II	134	head
133	II	135	interpolated
134	II	136	head
135	II	137	head
136	II	138	head
137	II	139	head
138	II	140	head
139	II	141	head
140	II	142	head
141	II	143	head
142	II	144	head
143	II	145	head
144	II	146	head
145	II	147	head
146	II	148	head
147	II	149	head
148	II	150	head
149	II	151	head
150	II	152	interpolated
151	II	153	head
152	II	154	head
153	II	155	head
154	II	156	head
155	II	157	head
156	II	158	head
157	II	159	head
158	II	160	head
159	II	161	head
160	II	162	head
161	II	163	head
162	II	164	head
163	II	165	head
164	II	166	head
165	II	167	head
166	II	168	head
167	II	169	head
168	II	170	head
169	II	171	head
170	II	172	head
171	II	173	head
172	II	174	head
173	II	175	head
174	II	176	head
175	II	177	head
176	II	178	head
177	II	179	head
178	II	180	head
179	II	181	head
180	II	182	head
181	III	183	interpolated
182	III	184	head
183	III	185	interpolated
184	III	186	head
185	III	187	interpolated
186	III	188	head
187	III	189	interpolated
188	III	190	head
189	III	191	interpolated
190	III	192	head
191	III	193	interpolated
192	III	194	head
193	III	195	interpolated
194	III	196	head
195	III	197	interpolated
196	III	198	head
197	III	199	interpolated
198	III	200	head
199	III	201	interpolated
200	III	202	head
201	III	203	head
202	III	204	interpolated
203	III	205	interpolated
204	III	206	head
205	III	207	interpolated
206	III	208	head
207	III	209	interpolated
208	III	210	head
209	III	211	interpolated
210	III	212	head
211	III	213	interpolated
212	III	214	head
213	III	215	interpolated
214	III	216	head
215	III	217	interpolated
216	III	218	head
217	III	219	interpolated
218	III	220	head
219	III	221	interpolated
220	III	222	head
221	III	223	interpolated
222	III	224	head
223	III	225	interpolated
224	III	226	head
225	III	227	interpolated
226	III	228	head
227	III	229	head
228	III	230	head
229	III	231	interpolated
230	III	232	head
231	III	233	interpolated
232	III	234	head
233	III	235	interpolated
234	III	236	head
235	III	237	interpolated
236	III	238	interpolated
237	III	239	interpolated
238	III	240	head
239	III	241	interpolated
240	III	242	head
241	III	243	head
242	III	244	head
243	III	245	interpolated
244	III	246	head
245	III	247	interpolated
246	III	248	head
247	III	249	interpolated
248	III	250	head
249	III	251	interpolated
250	III	252	head
251	III	253	interpolated
252	III	254	head
253	III	255	interpolated
254	III	256	head
255	III	257	interpolated
256	III	258	head
257	III	259	interpolated
258	III	260	head
259	III	261	interpolated
260	III	262	head
261	III	263	interpolated
262	III	264	head
263	III	265	interpolated
264	III	266	head
265	III	267	head
266	III	268	head
267	III	269	interpolated
268	III	270	head
269	III	271	interpolated
270	III	272	head
271	III	273	interpolated
272	III	274	head
273	III	275	interpolated
274	III	276	head
275	III	277	interpolated
276	III	278	head
277	III	279	interpolated
278	III	280	interpolated
279	III	281	head
280	III	282	head
281	III	283	head
282	III	284	head
283	III	285	head
284	III	286	interpolated
285	III	287	head
286	III	288	head
287	III	289	head
288	III	290	head
289	III	291	head
290	III	292	head
291	III	293	head
292	III	294	head
293	III	295	head
294	III	296	head
295	III	297	head
296	III	298	head
297	III	299	head
298	III	300	interpolated
299	III	301	head
300	III	302	head
301	III	303	head
302	III	304	head
303	III	305	head
304	III	306	head
305	IV	307	interpolated
306	IV	308	head
307	IV	309	interpolated
308	IV	310	head
309	IV	311	interpolated
310	IV	312	head
311	IV	313	interpolated
312	IV	314	head
313	IV	315	interpolated
314	IV	316	head
315	IV	317	interpolated
316	IV	318	head
317	IV	319	interpolated
318	IV	320	head
319	IV	321	interpolated
320	IV	322	head
321	IV	323	head
322	IV	324	head
323	IV	325	interpolated
324	IV	326	head
325	IV	327	interpolated
326	IV	328	head
327	IV	329	interpolated
328	IV	330	head
329	IV	331	interpolated
330	IV	332	head
331	IV	333	interpolated
332	IV	334	head
333	IV	335	interpolated
334	IV	336	head
335	IV	337	interpolated
336	IV	338	head
337	IV	339	interpolated
338	IV	340	head
339	IV	341	head
340	IV	342	head
341	IV	343	head
342	IV	344	head
343	IV	345	head
344	IV	346	head
345	IV	347	head
346	IV	348	head
347	IV	349	head
348	IV	350	head
349	IV	351	head
350	IV	352	head
351	IV	353	head
352	IV	354	head
353	IV	355	interpolated
354	IV	356	interpolated
355	IV	357	interpolated
356	IV	358	head
357	IV	359	interpolated
358	IV	360	interpolated
359	IV	361	interpolated
360	IV	362	interpolated
361	IV	363	interpolated
