# Generated by bourbaki pagemap build. Do not edit.
# book=ac-v-vii-fr grammar=head-number pagination=continuous pdf_pages=346
pdf_page	chapter	page	confidence
1		1	interpolated
2		2	interpolated
3		3	interpolated
4		4	interpolated
5	V	5	interpolated
6	V	6	head
7	V	7	interpolated
8	V	8	head
9	V	9	head
10	V	10	head
11	V	11	head
12	V	12	head
13	V	13	interpolated
14	V	14	head
15	V	15	head
16	V	16	head
17	V	17	interpolated
18	V	18	head
19	V	19	interpolated
20	V	20	head
21	V	21	head
22	V	22	head
23	V	23	head
24	V	24	head
25	V	25	head
26	V	26	head
27	V	27	interpolated
28	V	28	head
29	V	29	interpolated
30	V	30	head
31	V	31	interpolated
32	V	32	head
33	V	33	interpolated
34	V	34	head
35	V	35	interpolated
36	V	36	head
37	V	37	interpolated
38	V	38	head
39	V	39	interpolated
40	V	40	head
41	V	41	interpolated
42	V	42	head
43	V	43	interpolated
44	V	44	head
45	V	45	interpolated
46	V	46	head
47	V	47	interpolated
48	V	48	head
49	V	49	interpolated
50	V	50	head
51	V	51	interpolated
52	V	52	head
53	V	53	interpolated
54	V	54	interpolated
55	V	55	interpolated
56	V	56	head
57	V	57	interpolated
58	V	58	head
59	V	59	interpolated
60	V	60	head
61	V	61	interpolated
62	V	62	head
63	V	63	interpolated
64	V	64	head
65	V	65	interpolated
66	V	66	interpolated
67	V	67	head
68	V	68	head
69	V	69	head
70	V	70	interpolated
71	V	71	head
72	V	72	head
73	V	73	head
74	V	74	interpolated
75	V	75	head
76	V	76	head
77	V	77	head
78	V	78	head
79	V	79	head
80	V	80	head
81	V	81	head
82	V	82	interpolated
83	V	83	head
84	VI	84	interpolated
85	VI	85	interpolated
86	VI	86	head
87	VI	87	head
88	VI	88	head
89	VI	89	head
90	VI	90	interpolated
91	VI	91	head
92	VI	92	head
93	VI	93	head
94	VI	94	head
95	VI	95	head
96	VI	96	head
97	VI	97	interpolated
98	VI	98	head
99	VI	99	head
100	VI	100	head
101	VI	101	head
102	VI	102	head
103	VI	103	head
104	VI	104	head
105	VI	105	interpolated
106	VI	106	head
107	VI	107	interpolated
108	VI	108	head
109	VI	109	interpolated
110	VI	110	head
111	VI	111	interpolated
112	VI	112	head
113	VI	113	head
114	VI	114	head
115	VI	115	interpolated
116	VI	116	head
117	VI	117	interpolated
118	VI	118	head
119	VI	119	head
120	VI	120	head
121	VI	121	head
122	VI	122	head
123	VI	123	head
124	VI	124	head
125	VI	125	head
126	VI	126	head
127	VI	127	head
128	VI	128	interpolated
129	VI	129	interpolated
130	VI	130	head
131	VI	131	interpolated
132	VI	132	head
133	VI	133	interpolated
134	VI	134	head
135	VI	135	interpolated
136	VI	136	head
137	VI	137	interpolated
138	VI	138	head
139	VI	139	interpolated
140	VI	140	head
141	VI	141	interpolated
142	VI	142	head
143	VI	143	interpolated
144	VI	144	head
145	VI	145	interpolated
146	VI	146	head
147	VI	147	interpolated
148	VI	148	head
149	VI	149	head
150	VI	150	head
