# Generated by bourbaki pagemap build. Do not edit.
# book=ac-viii-ix-fr grammar=head-label pagination=per-chapter prefix=AC pdf_pages=204
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5	VIII	1	interpolated
6	VIII	2	label
7	VIII	3	label
8	VIII	4	label
9	VIII	5	label
10	VIII	6	label
11	VIII	7	label
12	VIII	8	label
13	VIII	9	label
14	VIII	10	label
15	VIII	11	label
16	VIII	12	label
17	VIII	13	label
18	VIII	14	label
19	VIII	15	label
20	VIII	16	label
21	VIII	17	interpolated
22	VIII	18	label
23	VIII	19	label
24	VIII	20	label
25	VIII	21	interpolated
26	VIII	22	label
27	VIII	23	label
28	VIII	24	label
29	VIII	25	label
30	VIII	26	label
31	VIII	27	label
32	VIII	28	label
33	VIII	29	interpolated
34	VIII	30	label
35	VIII	31	interpolated
36	VIII	32	label
37	VIII	33	interpolated
38	VIII	34	label
39	VIII	35	label
40	VIII	36	label
41	VIII	37	interpolated
42	VIII	38	label
43	VIII	39	label
44	VIII	40	label
45	VIII	41	label
46	VIII	42	label
47	VIII	43	label
48	VIII	44	label
49	VIII	45	label
50	VIII	46	label
51	VIII	47	label
52	VIII	48	label
53	VIII	49	label
54	VIII	50	label
55	VIII	51	label
56	VIII	52	label
57	VIII	53	interpolated
58	VIII	54	label
59	VIII	55	label
60	VIII	56	label
61	VIII	57	label
62	VIII	58	label
63	VIII	59	interpolated
64	VIII	60	label
65	VIII	61	interpolated
66	VIII	62	label
67	VIII	63	interpolated
68	VIII	64	label
69	VIII	65	interpolated
70	VIII	66	label
71	VIII	67	interpolated
72	VIII	68	label
73	VIII	69	label
74	VIII	70	label
75	VIII	71	label
76	VIII	72	label
77	VIII	73	interpolated
78	VIII	74	label
79	VIII	75	label
80	VIII	76	label
81	VIII	77	interpolated
82	VIII	78	label
83	VIII	79	interpolated
84	VIII	80	label
85	VIII	81	label
86	VIII	82	label
87	VIII	83	label
88	VIII	84	interpolated
89	VIII	85	label
90	VIII	86	label
91	VIII	87	label
92	VIII	88	label
93	VIII	89	label
94	VIII	90	label
95	VIII	91	label
96	VIII	92	label
97	VIII	93	label
98	VIII	94	label
99	VIII	95	interpolated
100	VIII	96	label
101	VIII	97	label
102	VIII	98	label
103	VIII	99	label
104	VIII	100	label
105	VIII	101	label
106	VIII	102	label
107	VIII	103	label
108	VIII	104	label
109	VIII	105	interpolated
110	VIII	106	label
111	VIII	107	label
112	VIII	108	label
113	IX	1	interpolated
114	IX	2	label
115	IX	3	label
116	IX	4	label
117	IX	5	label
118	IX	6	label
119	IX	7	label
120	IX	8	label
121	IX	9	label
122	IX	10	label
123	IX	11	interpolated
124	IX	12	label
125	IX	13	label
126	IX	14	label
127	IX	15	label
128	IX	16	label
129	IX	17	label
130	IX	18	label
131	IX	19	label
132	IX	20	label
133	IX	21	label
134	IX	22	label
135	IX	23	label
136	IX	24	label
137	IX	25	label
138	IX	26	interpolated
139	IX	27	label
140	IX	28	label
141	IX	29	label
142	IX	30	label
143	IX	31	interpolated
144	IX	32	label
145	IX	33	label
146	IX	34	interpolated
147	IX	35	label
148	IX	36	interpolated
149	IX	37	label
150	IX	38	label
151	IX	39	label
152	IX	40	label
153	IX	41	label
154	IX	42	label
155	IX	43	label
156	IX	44	label
157	IX	45	interpolated
158	IX	46	label
159	IX	47	label
160	IX	48	label
161	IX	49	label
162	IX	50	label
163	IX	51	interpolated
164	IX	52	label
165	IX	53	interpolated
166	IX	54	label
167	IX	55	label
168	IX	56	label
169	IX	57	label
170	IX	58	label
171	IX	59	label
172	IX	60	label
173	IX	61	interpolated
174	IX	62	label
175	IX	63	interpolated
176	IX	64	label
177	IX	65	label
178	IX	66	label
179	IX	67	label
180	IX	68	label
181	IX	69	label
182	IX	70	label
183	IX	71	label
184	IX	72	label
185	IX	73	interpolated
186	IX	74	label
187	IX	75	label
188	IX	76	label
189	IX	77	label
190	IX	78	label
191	IX	79	interpolated
192	IX	80	label
193	IX	81	label
194	IX	82	label
195	IX	83	label
196	IX	84	label
197	IX	85	label
198			none
199			none
200			none
201			none
202			none
203			none
204			none
