# Generated by bourbaki pagemap build. Do not edit.
# book=ac-x-fr grammar=head-label pagination=per-chapter prefix=AC pdf_pages=180
pdf_page	chapter	page	confidence
1	X	1	head
2	X	3	label
3	X	4	label
4	X	5	label
5	X	6	label
6	X	7	label
7	X	8	label
8	X	9	label
9	X	10	interpolated
10	X	11	label
11	X	12	label
12	X	13	label
13	X	14	interpolated
14	X	15	label
15	X	16	interpolated
16	X	17	label
17	X	18	label
18	X	19	label
19	X	20	label
20	X	21	label
21	X	22	label
22	X	23	interpolated
23	X	24	label
24	X	25	label
25	X	26	label
26	X	27	label
27	X	28	label
28	X	29	label
29	X	30	label
30	X	31	label
31	X	32	label
32	X	33	label
33	X	34	interpolated
34	X	35	label
35	X	36	interpolated
36	X	37	interpolated
37	X	38	label
38	X	39	interpolated
39	X	40	label
40	X	41	label
41	X	42	label
42	X	43	label
43	X	44	label
44	X	45	label
45	X	46	label
46	X	47	interpolated
47	X	48	label
48	X	49	label
49	X	50	label
50	X	51	label
51	X	52	label
52	X	53	interpolated
53	X	54	label
54	X	55	interpolated
55	X	56	interpolated
56	X	57	interpolated
57	X	58	interpolated
58	X	59	label
59	X	60	interpolated
60	X	61	label
61	X	62	interpolated
62	X	63	label
63	X	64	label
64	X	65	label
65	X	66	label
66	X	67	label
67	X	68	interpolated
68	X	69	label
69	X	70	label
70	X	71	interpolated
71	X	72	label
72	X	73	interpolated
73	X	74	label
74	X	75	label
75	X	76	label
76	X	77	label
77	X	78	label
78	X	79	label
79	X	80	label
80	X	81	label
81	X	82	interpolated
82	X	83	interpolated
83	X	84	label
84	X	85	label
85	X	86	label
86	X	87	label
87	X	88	label
88	X	89	label
89	X	90	label
90	X	91	interpolated
91	X	92	interpolated
92	X	93	label
93	X	94	interpolated
94	X	95	label
95	X	96	interpolated
96	X	97	interpolated
97	X	98	label
98	X	99	label
99	X	100	label
100	X	101	label
101	X	102	label
102	X	103	label
103	X	104	label
104	X	105	interpolated
105	X	106	interpolated
106	X	107	label
107	X	108	label
108	X	109	label
109	X	110	label
110	X	111	label
111	X	112	label
112	X	113	interpolated
113	X	114	label
114	X	115	label
115	X	116	label
116	X	117	label
117	X	118	label
118	X	119	label
119	X	120	interpolated
120	X	121	label
121	X	122	label
122	X	123	label
123	X	124	interpolated
124	X	125	interpolated
125	X	126	label
126	X	127	label
127	X	128	label
128	X	129	interpolated
129	X	130	label
130	X	131	label
131	X	132	label
132	X	133	label
133	X	134	label
134	X	135	label
135	X	136	label
136	X	137	interpolated
137	X	138	label
138	X	139	label
139	X	140	label
140	X	141	label
141	X	142	interpolated
142	X	143	label
143	X	144	label
144	X	145	label
145	X	146	label
146	X	147	label
147	X	148	label
148	X	149	label
149	X	150	label
150	X	151	interpolated
151	X	152	label
152	X	153	interpolated
153	X	154	label
154	X	155	interpolated
155	X	156	label
156	X	157	label
157	X	158	label
158	X	159	interpolated
159	X	160	label
160	X	161	head
161	X	162	head
162	X	163	interpolated
163	X	164	label
164	X	165	head
165	X	166	label
166	X	167	label
167	X	168	label
168	X	169	interpolated
169	X	170	label
170	X	171	label
171	X	172	label
172	X	173	label
173	X	174	label
174	X	175	interpolated
175	X	176	label
176	X	177	interpolated
177	X	178	label
178	X	179	interpolated
179	X	180	label
180			none
