# Generated by bourbaki pagemap build. Do not edit.
# book=alg-i-iii-fr grammar=head-label pagination=per-chapter prefix=A pdf_pages=645
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5			none
6			none
7			none
8			none
9			none
10			none
11	I	1	interpolated
12	I	2	interpolated
13	I	3	interpolated
14	I	4	interpolated
15	I	5	interpolated
16	I	6	interpolated
17	I	7	interpolated
18	I	8	interpolated
19	I	9	interpolated
20	I	10	interpolated
21	I	11	interpolated
22	I	12	interpolated
23	I	13	interpolated
24	I	14	interpolated
25	I	15	interpolated
26	I	16	interpolated
27	I	17	interpolated
28	I	18	interpolated
29	I	19	interpolated
30	I	20	interpolated
31	I	21	interpolated
32	I	22	interpolated
33	I	23	head
34	I	24	head
35	I	25	head
36	I	26	interpolated
37	I	27	head
38	I	28	interpolated
39	I	29	interpolated
40	I	30	interpolated
41	I	31	interpolated
42	I	32	interpolated
43	I	33	interpolated
44	I	34	head
45	I	35	interpolated
46	I	36	interpolated
47	I	37	interpolated
48	I	38	interpolated
49	I	39	interpolated
50	I	40	interpolated
51	I	41	interpolated
52	I	42	interpolated
53	I	43	interpolated
54	I	44	interpolated
55	I	45	interpolated
56	I	46	interpolated
57	I	47	interpolated
58	I	48	interpolated
59	I	49	interpolated
60	I	50	interpolated
61	I	51	interpolated
62	I	52	interpolated
63	I	53	interpolated
64	I	54	interpolated
65	I	55	interpolated
66	I	56	interpolated
67	I	57	interpolated
68	I	58	interpolated
69	I	59	interpolated
70	I	60	interpolated
71	I	61	interpolated
72	I	62	interpolated
73	I	63	interpolated
74	I	64	interpolated
75	I	65	interpolated
76	I	66	interpolated
77	I	67	interpolated
78	I	68	interpolated
79	I	69	interpolated
80	I	70	interpolated
81	I	71	interpolated
82	I	72	interpolated
83	I	73	interpolated
84	I	74	interpolated
85	I	75	interpolated
86	I	76	interpolated
87	I	77	interpolated
88	I	78	interpolated
89	I	79	interpolated
90	I	80	interpolated
91	I	81	head
92	I	82	interpolated
93	I	83	interpolated
94	I	84	interpolated
95	I	85	interpolated
96	I	86	interpolated
97	I	87	interpolated
98	I	88	interpolated
99	I	89	interpolated
100	I	90	interpolated
101	I	91	interpolated
102	I	92	interpolated
103	I	93	head
104	I	94	interpolated
105	I	95	head
106	I	96	interpolated
107	I	97	head
108	I	98	interpolated
109	I	99	head
110	I	100	interpolated
111	I	101	head
112	I	102	interpolated
113	I	103	head
114	I	104	interpolated
115	I	105	head
116	I	106	interpolated
117	I	107	head
118	I	108	interpolated
119	I	109	head
120	I	110	interpolated
121	I	111	head
122	I	112	interpolated
123	I	113	head
124	I	114	interpolated
125	I	115	head
126	I	116	interpolated
127	I	117	head
128	I	118	interpolated
129	I	119	head
130	I	120	interpolated
131	I	121	interpolated
132	I	122	interpolated
133	I	123	head
134	I	124	interpolated
135	I	125	interpolated
136	I	126	interpolated
137	I	127	head
138	I	128	interpolated
139	I	129	head
140	I	130	interpolated
141	I	131	head
142	I	132	interpolated
143	I	133	interpolated
144	I	134	interpolated
145	I	135	head
146	I	136	interpolated
147	I	137	head
148	I	138	interpolated
149	I	139	interpolated
150	I	140	interpolated
151	I	141	interpolated
152	I	142	interpolated
153	I	143	head
154	I	144	interpolated
155	I	145	interpolated
156	I	146	interpolated
157	I	147	interpolated
158	I	148	interpolated
159	I	149	head
160	I	150	interpolated
161	I	151	head
162	I	152	interpolated
163	I	153	head
164	I	154	interpolated
165	I	155	head
166	I	156	interpolated
167	I	157	head
168	I	158	interpolated
169	I	159	head
170	I	160	interpolated
171	I	161	head
172	I	162	interpolated
173	I	163	head
174	I	164	interpolated
175	I	165	head
176	I	166	interpolated
177	I	167	interpolated
178	II	1	interpolated
179	II	2	interpolated
180	II	3	head
181	II	4	interpolated
182	II	5	head
183	II	6	interpolated
184	II	7	head
185	II	8	interpolated
186	II	9	head
187	II	10	interpolated
188	II	11	head
189	II	12	interpolated
190	II	13	head
191	II	14	interpolated
192	II	15	head
193	II	16	interpolated
194	II	17	head
195	II	18	interpolated
196	II	19	head
197	II	20	interpolated
198	II	21	head
199	II	22	interpolated
200	II	23	head
201	II	24	interpolated
202	II	25	head
203	II	26	interpolated
204	II	27	head
205	II	28	interpolated
206	II	29	head
207	II	30	interpolated
208	II	31	head
209	II	32	interpolated
210	II	33	head
211	II	34	interpolated
212	II	35	head
213	II	36	interpolated
214	II	37	interpolated
215	II	38	interpolated
216	II	39	interpolated
217	II	40	interpolated
218	II	41	interpolated
219	II	42	interpolated
220	II	43	interpolated
221	II	44	interpolated
222	II	45	interpolated
223	II	46	interpolated
224	II	47	interpolated
225	II	48	interpolated
226	II	49	interpolated
227	II	50	interpolated
228	II	51	head
229	II	52	interpolated
230	II	53	head
231	II	54	interpolated
232	II	55	interpolated
233	II	56	interpolated
234	II	57	interpolated
235	II	58	interpolated
236	II	59	interpolated
237	II	60	interpolated
238	II	61	head
239	II	62	interpolated
240	II	63	head
241	II	64	interpolated
242	II	65	head
243	II	66	interpolated
244	II	67	head
245	II	68	interpolated
246	II	69	head
247	II	70	interpolated
248	II	71	head
249	II	72	interpolated
250	II	73	interpolated
251	II	74	interpolated
252	II	75	interpolated
253	II	76	interpolated
254	II	77	interpolated
255	II	78	interpolated
256	II	79	interpolated
257	II	80	interpolated
258	II	81	interpolated
259	II	82	interpolated
260	II	83	interpolated
261	II	84	interpolated
262	II	85	head
263	II	86	interpolated
264	II	87	interpolated
265	II	88	interpolated
266	II	89	interpolated
267	II	90	interpolated
268	II	91	interpolated
269	II	92	interpolated
270	II	93	interpolated
271	II	94	interpolated
272	II	95	head
273	II	96	interpolated
274	II	97	head
275	II	98	interpolated
276	II	99	head
277	II	100	interpolated
278	II	101	head
279	II	102	interpolated
280	II	103	head
281	II	104	interpolated
282	II	105	head
283	II	106	interpolated
284	II	107	head
285	II	108	interpolated
286	II	109	head
287	II	110	interpolated
288	II	111	head
289	II	112	interpolated
290	II	113	head
291	II	114	interpolated
292	II	115	head
293	II	116	interpolated
294	II	117	head
295	II	118	interpolated
296	II	119	head
297	II	120	interpolated
298	II	121	head
299	II	122	interpolated
300	II	123	head
301	II	124	interpolated
302	II	125	head
303	II	126	interpolated
304	II	127	head
305	II	128	interpolated
306	II	129	head
307	II	130	interpolated
308	II	131	head
309	II	132	interpolated
310	II	133	head
311	II	134	head
312	II	135	head
313	II	136	interpolated
314	II	137	head
315	II	138	interpolated
316	II	139	interpolated
317	II	140	interpolated
318	II	141	head
319	II	142	interpolated
320	II	143	head
321	II	144	interpolated
322	II	145	head
323	II	146	interpolated
324	II	147	head
325	II	148	interpolated
326	II	149	head
327	II	150	interpolated
328	II	151	head
329	II	152	interpolated
330	II	153	head
331	II	154	interpolated
332	II	155	head
333	II	156	head
334	II	157	head
335	II	158	interpolated
336	II	159	head
337	II	160	interpolated
338	II	161	head
339	II	162	interpolated
340	II	163	interpolated
341	II	164	interpolated
342	II	165	interpolated
343	II	166	interpolated
344	II	167	interpolated
345	II	168	interpolated
346	II	169	interpolated
347	II	170	interpolated
348	II	171	interpolated
349	II	172	head
350	II	173	head
351	II	174	head
352	II	175	interpolated
353	II	176	head
354	II	177	head
355	II	178	interpolated
356	II	179	interpolated
357	II	180	interpolated
358	II	181	head
359	II	182	interpolated
360	II	183	head
361	II	184	interpolated
362	II	185	head
363	II	186	interpolated
364	II	187	head
365	II	188	interpolated
366	II	189	head
367	II	190	interpolated
368	II	191	head
369	II	192	interpolated
370	II	193	head
371	II	194	interpolated
372	II	195	head
373	II	196	interpolated
374	II	197	head
375	II	198	interpolated
376	II	199	interpolated
377	II	200	interpolated
378	II	201	head
379	II	202	interpolated
380	II	203	head
381	II	204	interpolated
382	II	205	head
383	II	206	interpolated
384	II	207	head
385	II	208	interpolated
386	II	209	interpolated
387	II	210	head
388	III	1	interpolated
389	III	2	interpolated
390	III	3	interpolated
391	III	4	interpolated
392	III	5	interpolated
393	III	6	interpolated
394	III	7	interpolated
395	III	8	interpolated
396	III	9	interpolated
397	III	10	head
398	III	11	head
399	III	12	head
400	III	13	head
401	III	14	interpolated
402	III	15	interpolated
403	III	16	interpolated
404	III	17	interpolated
405	III	18	head
406	III	19	interpolated
407	III	20	interpolated
408	III	21	interpolated
409	III	22	interpolated
