# Generated by bourbaki pagemap build. Do not edit.
# book=alg-iv-vii-fr grammar=head-label pagination=per-chapter prefix=A transposed=273-274 pdf_pages=426
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5			none
6			none
7			none
8	IV	1	interpolated
9	IV	2	interpolated
10	IV	3	interpolated
11	IV	4	interpolated
12	IV	5	interpolated
13	IV	6	interpolated
14	IV	7	interpolated
15	IV	8	head
16	IV	9	interpolated
17	IV	10	interpolated
18	IV	11	interpolated
19	IV	12	interpolated
20	IV	13	interpolated
21	IV	14	interpolated
22	IV	15	interpolated
23	IV	16	interpolated
24	IV	17	interpolated
25	IV	18	interpolated
26	IV	19	head
27	IV	20	interpolated
28	IV	21	head
29	IV	22	head
30	IV	23	interpolated
31	IV	24	interpolated
32	IV	25	interpolated
33	IV	26	interpolated
34	IV	27	interpolated
35	IV	28	interpolated
36	IV	29	interpolated
37	IV	30	head
38	IV	31	interpolated
39	IV	32	interpolated
40	IV	33	interpolated
41	IV	34	interpolated
42	IV	35	interpolated
43	IV	36	interpolated
44	IV	37	interpolated
45	IV	38	interpolated
46	IV	39	interpolated
47	IV	40	interpolated
48	IV	41	head
49	IV	42	interpolated
50	IV	43	interpolated
51	IV	44	interpolated
52	IV	45	interpolated
53	IV	46	interpolated
54	IV	47	interpolated
55	IV	48	interpolated
56	IV	49	interpolated
57	IV	50	interpolated
58	IV	51	head
59	IV	52	interpolated
60	IV	53	interpolated
61	IV	54	interpolated
62	IV	55	interpolated
63	IV	56	interpolated
64	IV	57	interpolated
65	IV	58	interpolated
66	IV	59	interpolated
67	IV	60	interpolated
68	IV	61	interpolated
69	IV	62	interpolated
70	IV	63	interpolated
71	IV	64	interpolated
72	IV	65	interpolated
73	IV	66	interpolated
74	IV	67	interpolated
75	IV	68	interpolated
76	IV	69	interpolated
77	IV	70	interpolated
78	IV	71	interpolated
79	IV	72	interpolated
80	IV	73	interpolated
81	IV	74	interpolated
82	IV	75	interpolated
83	IV	76	interpolated
84	IV	77	interpolated
85	IV	78	interpolated
86	IV	79	interpolated
87	IV	80	head
88	IV	81	interpolated
89	IV	82	interpolated
90	IV	83	head
91	IV	84	interpolated
92	IV	85	head
93	IV	86	interpolated
94	IV	87	head
95	IV	88	interpolated
96	IV	89	head
97	IV	90	interpolated
98	IV	91	head
99	IV	92	interpolated
100	IV	93	head
101	IV	94	interpolated
102	IV	95	head
103	IV	96	interpolated
104	IV	97	interpolated
105	V	1	interpolated
106	V	2	head
107	V	3	interpolated
108	V	4	head
109	V	5	interpolated
110	V	6	head
111	V	7	interpolated
112	V	8	head
113	V	9	head
114	V	10	head
115	V	11	interpolated
116	V	12	head
117	V	13	interpolated
118	V	14	head
119	V	15	interpolated
120	V	16	head
121	V	17	interpolated
122	V	18	head
123	V	19	interpolated
124	V	20	head
125	V	21	interpolated
126	V	22	head
127	V	23	head
128	V	24	head
129	V	25	head
130	V	26	interpolated
131	V	27	interpolated
132	V	28	head
133	V	29	interpolated
134	V	30	head
135	V	31	interpolated
136	V	32	head
137	V	33	interpolated
138	V	34	head
139	V	35	interpolated
140	V	36	head
141	V	37	interpolated
142	V	38	head
143	V	39	interpolated
144	V	40	head
145	V	41	interpolated
146	V	42	head
147	V	43	interpolated
148	V	44	head
149	V	45	head
150	V	46	interpolated
151	V	47	head
152	V	48	head
153	V	49	head
154	V	50	head
155	V	51	interpolated
156	V	52	head
157	V	53	interpolated
158	V	54	head
159	V	55	head
160	V	56	head
161	V	57	interpolated
162	V	58	head
163	V	59	head
164	V	60	interpolated
165	V	61	head
166	V	62	head
167	V	63	head
168	V	64	head
169	V	65	head
170	V	66	head
171	V	67	head
172	V	68	head
173	V	69	head
174	V	70	head
175	V	71	head
176	V	72	head
177	V	73	interpolated
178	V	74	head
179	V	75	interpolated
180	V	76	head
181	V	77	interpolated
182	V	78	head
183	V	79	interpolated
184	V	80	head
185	V	81	interpolated
186	V	82	interpolated
187	V	83	interpolated
188	V	84	head
189	V	85	interpolated
190	V	86	head
191	V	87	interpolated
192	V	88	head
193	V	89	head
194	V	90	head
195	V	91	head
196	V	92	head
197	V	93	head
198	V	94	head
199	V	95	head
200	V	96	head
201	V	97	head
202	V	98	head
203	V	99	head
204	V	100	head
205	V	101	head
206	V	102	interpolated
207	V	103	head
208	V	104	head
209	V	105	head
210	V	106	head
211	V	107	head
212	V	108	head
213	V	109	head
214	V	110	head
215	V	111	interpolated
216	V	112	head
217	V	113	interpolated
218	V	114	head
219	V	115	interpolated
220	V	116	head
221	V	117	interpolated
222	V	118	head
223	V	119	interpolated
224	V	120	head
225	V	121	interpolated
226	V	122	head
227	V	123	interpolated
228	V	124	head
229	V	125	interpolated
230	V	126	head
231	V	127	interpolated
232	V	128	head
233	V	129	interpolated
234	V	130	head
235	V	131	interpolated
236	V	132	head
237	V	133	interpolated
238	V	134	head
239	V	135	interpolated
240	V	136	head
241	V	137	interpolated
242	V	138	head
243	V	139	interpolated
244	V	140	head
245	V	141	head
246	V	142	head
247	V	143	interpolated
248	V	144	head
249	V	145	interpolated
250	V	146	head
251	V	147	head
252	V	148	head
253	V	149	head
254	V	150	head
255	V	151	head
256	V	152	interpolated
257	V	153	head
258	V	154	head
259	V	155	head
260	V	156	head
261	V	157	interpolated
262	V	158	head
263	V	159	head
264	V	160	head
265	V	161	head
266	V	162	head
267	V	163	interpolated
268	V	164	head
269	V	165	interpolated
270	V	166	head
271	V	167	head
272	V	168	head
273	V	170	interpolated
274	V	169	head
275	V	171	head
276	V	172	interpolated
277	V	173	head
278	V	174	interpolated
279	V	175	head
280	V	176	interpolated
281	V	177	head
282	V	178	interpolated
283	V	179	head
284	V	180	interpolated
285	V	181	interpolated
286	V	182	interpolated
287	V	183	head
288	V	184	interpolated
289	V	185	interpolated
290	VI	1	interpolated
291	VI	2	interpolated
292	VI	3	interpolated
293	VI	4	interpolated
294	VI	5	interpolated
295	VI	6	interpolated
296	VI	7	interpolated
297	VI	8	interpolated
298	VI	9	interpolated
299	VI	10	head
300	VI	11	interpolated
301	VI	12	interpolated
302	VI	13	head
303	VI	14	interpolated
304	VI	15	interpolated
305	VI	16	interpolated
306	VI	17	interpolated
307	VI	18	interpolated
308	VI	19	interpolated
309	VI	20	interpolated
310	VI	21	interpolated
311	VI	22	interpolated
312	VI	23	interpolated
313	VI	24	interpolated
314	VI	25	interpolated
315	VI	26	interpolated
316	VI	27	interpolated
317	VI	28	interpolated
318	VI	29	interpolated
319	VI	30	interpolated
320	VI	31	interpolated
321	VI	32	interpolated
322	VI	33	interpolated
323	VI	34	interpolated
324	VI	35	interpolated
325	VI	36	interpolated
326	VI	37	interpolated
327	VI	38	interpolated
328	VI	39	interpolated
329	VI	40	interpolated
330	VI	41	interpolated
331	VI	42	interpolated
332	VI	43	head
333	VI	44	interpolated
334	VII	1	interpolated
335	VII	2	interpolated
336	VII	3	head
337	VII	4	head
338	VII	5	head
339	VII	6	head
340	VII	7	interpolated
341	VII	8	interpolated
342	VII	9	head
343	VII	10	head
344	VII	11	interpolated
345	VII	12	head
346	VII	13	head
347	VII	14	head
348	VII	15	head
349	VII	16	head
350	VII	17	head
351	VII	18	head
352	VII	19	interpolated
353	VII	20	head
354	VII	21	head
355	VII	22	head
356	VII	23	head
357	VII	24	head
358	VII	25	head
359	VII	26	head
360	VII	27	head
361	VII	28	head
362	VII	29	head
363	VII	30	head
364	VII	31	head
365	VII	32	head
366	VII	33	interpolated
367	VII	34	head
368	VII	35	head
369	VII	36	interpolated
370	VII	37	head
371	VII	38	head
372	VII	39	head
373	VII	40	interpolated
374	VII	41	head
375	VII	42	head
376	VII	43	head
377	VII	44	head
378	VII	45	head
379	VII	46	interpolated
380	VII	47	interpolated
381	VII	48	interpolated
382	VII	49	head
383	VII	50	interpolated
384	VII	51	head
385	VII	52	head
386	VII	53	interpolated
387	VII	54	head
388	VII	55	interpolated
389	VII	56	head
390	VII	57	interpolated
391	VII	58	interpolated
392	VII	59	head
393	VII	60	head
394	VII	61	head
395	VII	62	head
396	VII	63	interpolated
397	VII	64	head
398	VII	65	head
399	VII	66	head
400	VII	67	head
401	VII	68	head
402	VII	69	interpolated
403	VII	70	interpolated
404	VII	71	interpolated
405	VII	72	interpolated
