# Generated by bourbaki pagemap build. Do not edit.
# book=alg-iv-vii grammar=head-label pagination=per-chapter prefix=A pdf_pages=460
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5			none
6			none
7			none
8			none
9			none
10	IV	1	interpolated
11	IV	2	label
12	IV	3	label
13	IV	4	label
14	IV	5	label
15	IV	6	label
16	IV	7	label
17	IV	8	label
18	IV	9	label
19	IV	10	label
20	IV	11	label
21	IV	12	label
22	IV	13	label
23	IV	14	label
24	IV	15	label
25	IV	16	label
26	IV	17	label
27	IV	18	label
28	IV	19	label
29	IV	20	label
30	IV	21	label
31	IV	22	label
32	IV	23	label
33	IV	24	label
34	IV	25	label
35	IV	26	label
36	IV	27	interpolated
37	IV	28	label
38	IV	29	label
39	IV	30	label
40	IV	31	label
41	IV	32	label
42	IV	33	label
43	IV	34	label
44	IV	35	label
45	IV	36	label
46	IV	37	label
47	IV	38	label
48	IV	39	label
49	IV	40	label
50	IV	41	label
51	IV	42	label
52	IV	43	label
53	IV	44	label
54	IV	45	label
55	IV	46	label
56	IV	47	label
57	IV	48	label
58	IV	49	label
59	IV	50	label
60	IV	51	label
61	IV	52	label
62	IV	53	label
63	IV	54	label
64	IV	55	label
65	IV	56	label
66	IV	57	label
67	IV	58	label
68	IV	59	label
69	IV	60	label
70	IV	61	label
71	IV	62	label
72	IV	63	label
73	IV	64	label
74	IV	65	label
75	IV	66	label
76	IV	67	label
77	IV	68	label
78	IV	69	interpolated
79	IV	70	label
80	IV	71	label
81	IV	72	label
82	IV	73	label
83	IV	74	label
84	IV	75	label
85	IV	76	label
86	IV	77	label
87	IV	78	label
88	IV	79	label
89	IV	80	label
90	IV	81	label
91	IV	82	label
92	IV	83	interpolated
93	IV	84	label
94	IV	85	label
95	IV	86	interpolated
96	IV	87	label
97	IV	88	label
98	IV	89	label
99	IV	90	label
100	IV	91	label
101	IV	92	label
102	IV	93	label
103	IV	94	label
104	IV	95	label
105	IV	96	label
106	IV	97	label
107	IV	98	label
108	IV	99	label
109	IV	100	label
110	IV	101	label
111	IV	102	label
112	IV	103	interpolated
113	IV	104	label
114	IV	105	label
115	V	1	interpolated
116	V	2	label
117	V	3	label
118	V	4	label
119	V	5	label
120	V	6	label
121	V	7	label
122	V	8	label
123	V	9	label
124	V	10	label
125	V	11	label
126	V	12	label
127	V	13	label
128	V	14	label
129	V	15	label
130	V	16	label
131	V	17	label
132	V	18	label
133	V	19	label
134	V	20	label
135	V	21	label
136	V	22	label
137	V	23	label
138	V	24	label
139	V	25	label
140	V	26	label
141	V	27	label
142	V	28	label
143	V	29	label
144	V	30	label
145	V	31	label
146	V	32	label
147	V	33	label
148	V	34	label
149	V	35	label
150	V	36	label
151	V	37	label
152	V	38	label
153	V	39	label
154	V	40	label
155	V	41	label
156	V	42	label
157	V	43	label
158	V	44	label
159	V	45	label
160	V	46	label
161	V	47	label
162	V	48	label
163	V	49	label
164	V	50	label
165	V	51	label
166	V	52	label
167	V	53	label
168	V	54	label
169	V	55	label
170	V	56	label
171	V	57	label
172	V	58	label
173	V	59	label
174	V	60	label
175	V	61	label
176	V	62	label
177	V	63	label
178	V	64	label
179	V	65	label
180	V	66	label
181	V	67	label
182	V	68	label
183	V	69	label
184	V	70	label
185	V	71	label
186	V	72	label
187	V	73	label
188	V	74	label
189	V	75	label
190	V	76	label
191	V	77	label
192	V	78	label
193	V	79	label
194	V	80	label
195	V	81	label
196	V	82	label
197	V	83	label
198	V	84	label
199	V	85	label
200	V	86	label
201	V	87	label
202	V	88	label
203	V	89	label
204	V	90	label
205	V	91	label
206	V	92	label
207	V	93	interpolated
208	V	94	label
209	V	95	label
210	V	96	label
211	V	97	label
212	V	98	label
213	V	99	label
214	V	100	label
215	V	101	label
216	V	102	interpolated
217	V	103	label
218	V	104	label
219	V	105	label
220	V	106	label
221	V	107	label
222	V	108	label
223	V	109	label
224	V	110	label
225	V	111	label
226	V	112	label
227	V	113	label
228	V	114	label
229	V	115	label
230	V	116	label
231	V	117	label
232	V	118	label
233	V	119	label
234	V	120	label
235	V	121	label
236	V	122	label
237	V	123	label
238	V	124	label
239	V	125	label
240	V	126	label
241	V	127	label
242	V	128	interpolated
243	V	129	label
244	V	130	label
245	V	131	label
246	V	132	label
247	V	133	label
248	V	134	interpolated
249	V	135	label
250	V	136	label
251	V	137	label
252	V	138	label
253	V	139	label
254	V	140	label
255	V	141	label
256	V	142	label
257	V	143	label
258	V	144	label
259	V	145	interpolated
260	V	146	label
261	V	147	label
262	V	148	label
263	V	149	label
264	V	150	label
265	V	151	label
266	V	152	label
267	V	153	label
268	V	154	label
269	V	155	label
270	V	156	label
271	V	157	label
272	V	158	label
273	V	159	label
274	V	160	label
275	V	161	label
276	V	162	label
277	V	163	label
278	V	164	label
279	V	165	label
280	V	166	label
281	V	167	label
282	V	168	label
283	V	169	label
284	V	170	label
285	V	171	label
286	V	172	label
287	V	173	label
288	V	174	label
289	V	175	label
290	V	176	label
291	V	177	label
292	V	178	label
293	V	179	label
294	V	180	label
295	V	181	label
296	V	182	interpolated
297	V	183	label
298	V	184	label
299	V	185	label
300	V	186	label
301	V	187	label
302	V	188	label
303	V	189	label
304	V	190	label
305	V	191	label
306	V	192	label
307	V	193	label
308	V	194	label
309	V	195	label
310	V	196	label
311	V	197	interpolated
312	VI	1	interpolated
313	VI	2	label
314	VI	3	label
315	VI	4	label
316	VI	5	label
317	VI	6	label
318	VI	7	label
319	VI	8	label
320	VI	9	label
321	VI	10	label
322	VI	11	label
323	VI	12	label
324	VI	13	label
325	VI	14	label
326	VI	15	label
327	VI	16	label
328	VI	17	label
329	VI	18	label
330	VI	19	label
331	VI	20	label
332	VI	21	label
333	VI	22	label
334	VI	23	label
335	VI	24	label
336	VI	25	label
337	VI	26	label
338	VI	27	label
339	VI	28	label
340	VI	29	label
341	VI	30	interpolated
342	VI	31	label
343	VI	32	label
344	VI	33	label
345	VI	34	label
346	VI	35	label
347	VI	36	label
348	VI	37	label
349	VI	38	label
350	VI	39	label
351	VI	40	label
352	VI	41	label
353	VI	42	label
354	VI	43	label
355	VI	44	label
356	VI	45	label
357	VI	46	label
358	VI	47	label
359	VI	48	interpolated
360	VII	1	interpolated
361	VII	2	label
362	VII	3	label
363	VII	4	label
364	VII	5	label
365	VII	6	label
366	VII	7	label
367	VII	8	label
368	VII	9	label
369	VII	10	label
370	VII	11	label
371	VII	12	label
372	VII	13	label
373	VII	14	label
374	VII	15	label
375	VII	16	label
376	VII	17	label
377	VII	18	label
378	VII	19	label
379	VII	20	label
380	VII	21	label
381	VII	22	label
382	VII	23	label
383	VII	24	label
384	VII	25	label
385	VII	26	label
386	VII	27	label
387	VII	28	label
388	VII	29	label
389	VII	30	label
390	VII	31	label
391	VII	32	label
392	VII	33	label
393	VII	34	label
394	VII	35	label
395	VII	36	label
396	VII	37	label
397	VII	38	label
398	VII	39	label
399	VII	40	label
400	VII	41	label
401	VII	42	label
402	VII	43	label
403	VII	44	label
404	VII	45	label
405	VII	46	label
406	VII	47	label
407	VII	48	interpolated
408	VII	49	label
409	VII	50	label
410	VII	51	label
411	VII	52	label
412	VII	53	label
413	VII	54	label
414	VII	55	label
415	VII	56	label
416	VII	57	label
417	VII	58	label
418	VII	59	label
419	VII	60	label
420	VII	61	label
421	VII	62	label
422	VII	63	label
423	VII	64	label
424	VII	65	label
425	VII	66	label
426	VII	67	label
427	VII	68	label
428	VII	69	label
429	VII	70	label
430	VII	71	label
431	VII	72	label
432	VII	73	interpolated
433	VII	74	label
434	VII	75	label
435	VII	76	label
436	VII	77	label
437	VII	78	label
438	VII	79	label
439	VII	80	label
440	VII	81	label
441	VII	82	interpolated
442	VII	83	interpolated
443	VII	84	label
444			none
445			none
446			none
447			none
448			none
449			none
450			none
451			none
452			none
453			none
454			none
455			none
456			none
457			none
458			none
459			none
460			none
