# Generated by bourbaki pagemap build. Do not edit.
# book=alg-ix-fr grammar=head-number pagination=continuous pdf_pages=211
pdf_page	chapter	page	confidence
1		3	interpolated
2		4	interpolated
3		5	interpolated
4		6	interpolated
5	IX	7	interpolated
6	IX	8	interpolated
7	IX	9	interpolated
8	IX	10	interpolated
9	IX	11	interpolated
10	IX	12	interpolated
11	IX	13	interpolated
12	IX	14	interpolated
13	IX	15	interpolated
14	IX	16	interpolated
15	IX	17	interpolated
16	IX	18	interpolated
17	IX	19	interpolated
18	IX	20	interpolated
19	IX	21	interpolated
20	IX	22	interpolated
21	IX	23	interpolated
22	IX	24	interpolated
23	IX	25	interpolated
24	IX	26	interpolated
25	IX	27	interpolated
26	IX	28	interpolated
27	IX	29	interpolated
28	IX	30	interpolated
29	IX	31	interpolated
30	IX	32	interpolated
31	IX	33	interpolated
32	IX	34	interpolated
33	IX	35	interpolated
34	IX	36	interpolated
35	IX	37	interpolated
36	IX	38	interpolated
37	IX	39	interpolated
38	IX	40	interpolated
39	IX	41	interpolated
40	IX	42	interpolated
41	IX	43	interpolated
42	IX	44	interpolated
43	IX	45	interpolated
44	IX	46	interpolated
45	IX	47	interpolated
46	IX	48	interpolated
47	IX	49	interpolated
48	IX	50	interpolated
49	IX	51	interpolated
50	IX	52	interpolated
51	IX	53	interpolated
52	IX	54	interpolated
53	IX	55	interpolated
54	IX	56	interpolated
55	IX	57	interpolated
56	IX	58	interpolated
57	IX	59	head
58	IX	60	interpolated
59	IX	61	interpolated
60	IX	62	interpolated
61	IX	63	head
62	IX	64	interpolated
63	IX	65	head
64	IX	66	interpolated
65	IX	67	head
66	IX	68	interpolated
67	IX	69	head
68	IX	70	interpolated
69	IX	71	head
70	IX	72	interpolated
71	IX	73	head
72	IX	74	interpolated
73	IX	75	head
74	IX	76	interpolated
75	IX	77	head
76	IX	78	interpolated
77	IX	79	interpolated
78	IX	80	interpolated
79	IX	81	interpolated
80	IX	82	interpolated
81	IX	83	interpolated
82	IX	84	interpolated
83	IX	85	interpolated
84	IX	86	interpolated
85	IX	87	interpolated
86	IX	88	interpolated
87	IX	89	interpolated
88	IX	90	interpolated
89	IX	91	interpolated
90	IX	92	interpolated
91	IX	93	interpolated
92	IX	94	interpolated
93	IX	95	interpolated
94	IX	96	interpolated
95	IX	97	interpolated
96	IX	98	interpolated
97	IX	99	interpolated
98	IX	100	interpolated
99	IX	101	interpolated
100	IX	102	interpolated
101	IX	103	interpolated
102	IX	104	interpolated
103	IX	105	interpolated
104	IX	106	interpolated
105	IX	107	interpolated
106	IX	108	interpolated
107	IX	109	interpolated
108	IX	110	interpolated
109	IX	111	head
110	IX	112	interpolated
111	IX	113	interpolated
112	IX	114	interpolated
113	IX	115	interpolated
114	IX	116	interpolated
115	IX	117	interpolated
116	IX	118	interpolated
117	IX	119	interpolated
118	IX	120	interpolated
119	IX	121	interpolated
120	IX	122	interpolated
121	IX	123	interpolated
122	IX	124	interpolated
123	IX	125	interpolated
124	IX	126	interpolated
125	IX	127	interpolated
126	IX	128	interpolated
127	IX	129	interpolated
128	IX	130	interpolated
129	IX	131	interpolated
130	IX	132	interpolated
131	IX	133	head
132	IX	134	interpolated
133	IX	135	head
134	IX	136	interpolated
135	IX	137	head
136	IX	138	interpolated
137	IX	139	interpolated
138	IX	140	interpolated
139	IX	141	interpolated
140	IX	142	interpolated
141	IX	143	interpolated
142	IX	144	interpolated
143	IX	145	interpolated
144	IX	146	interpolated
145	IX	147	interpolated
146	IX	148	interpolated
147	IX	149	interpolated
148	IX	150	interpolated
149	IX	151	interpolated
150	IX	152	interpolated
151	IX	153	interpolated
152	IX	154	interpolated
153	IX	155	interpolated
154	IX	156	interpolated
155	IX	157	interpolated
156	IX	158	interpolated
157	IX	159	interpolated
158	IX	160	interpolated
159	IX	161	head
160	IX	162	interpolated
161	IX	163	head
162	IX	164	interpolated
163	IX	165	head
164	IX	166	interpolated
165	IX	167	head
166	IX	168	interpolated
167	IX	169	head
168	IX	170	interpolated
169	IX	171	head
170	IX	172	interpolated
171	IX	173	head
172	IX	174	interpolated
173	IX	175	head
174	IX	176	interpolated
175	IX	177	head
176	IX	178	interpolated
177	IX	179	interpolated
178	IX	180	interpolated
179	IX	181	head
180	IX	182	interpolated
181	IX	183	head
182	IX	184	interpolated
183	IX	185	interpolated
184	IX	186	interpolated
185	IX	187	head
186	IX	188	interpolated
187	IX	189	head
188	IX	190	interpolated
189	IX	191	head
190	IX	192	interpolated
191	IX	193	head
192	IX	194	interpolated
193	IX	195	head
194	IX	196	interpolated
195	IX	197	head
196	IX	198	interpolated
197	IX	199	head
198	IX	200	interpolated
199	IX	201	head
200	IX	202	interpolated
201	IX	203	interpolated
202	IX	204	interpolated
203	IX	205	head
204	IX	206	interpolated
205	IX	207	interpolated
206	IX	208	interpolated
207	IX	209	interpolated
208	IX	210	interpolated
209	IX	211	interpolated
210	IX	212	interpolated
211	IX	213	interpolated
