# Generated by bourbaki pagemap build. Do not edit.
# book=ens-i-iv-fr grammar=head-label pagination=per-chapter prefix=E pdf_pages=349
pdf_page	chapter	page	confidence
1			none
2	I	1	interpolated
3	I	2	interpolated
4	I	3	interpolated
5	I	4	interpolated
6	I	5	interpolated
7	I	6	interpolated
8	I	7	interpolated
9	I	8	label
10	I	9	label
11	I	10	label
12	I	11	label
13	I	12	label
14	I	13	label
15	I	14	interpolated
16	I	15	label
17	I	16	head
18	I	17	label
19	I	18	label
20	I	19	head
21	I	20	label
22	I	21	label
23	I	22	head
24	I	23	label
25	I	24	label
26	I	25	head
27	I	26	label
28	I	27	head
29	I	28	label
30	I	29	head
31	I	30	label
32	I	31	label
33	I	32	label
34	I	33	head
35	I	34	label
36	I	35	label
37	I	36	head
38	I	37	label
39	I	38	head
40	I	39	label
41	I	40	label
42	I	41	head
43	I	42	label
44	I	43	label
45	I	44	head
46	I	45	label
47	I	46	head
48	I	47	interpolated
49	I	48	head
50	I	49	label
51	I	50	label
52	I	51	head
53	II	1	interpolated
54	II	2	interpolated
55	II	3	head
56	II	4	head
57	II	5	label
58	II	6	head
59	II	7	label
60	II	8	head
61	II	9	label
62	II	10	label
63	II	11	head
64	II	12	label
65	II	13	label
66	II	14	head
67	II	15	label
68	II	16	head
69	II	17	label
70	II	18	label
71	II	19	label
72	II	20	head
73	II	21	label
74	II	22	head
75	II	23	label
76	II	24	head
77	II	25	label
78	II	26	label
79	II	27	label
80	II	28	label
81	II	29	label
82	II	30	label
83	II	31	label
84	II	32	label
85	II	33	label
86	II	34	label
87	II	35	label
88	II	36	label
89	II	37	label
90	II	38	label
91	II	39	label
92	II	40	label
93	II	41	label
94	II	42	label
95	II	43	label
96	II	44	label
97	II	45	label
98	II	46	label
99	II	47	label
100	II	48	label
101	II	49	interpolated
102	II	50	label
103	II	51	label
104	II	52	label
105	III	1	interpolated
106	III	2	label
107	III	3	label
108	III	4	label
109	III	5	label
110	III	6	label
111	III	7	label
112	III	8	label
113	III	9	label
114	III	10	label
115	III	11	label
116	III	12	label
117	III	13	label
118	III	14	label
119	III	15	label
120	III	16	label
121	III	17	label
122	III	18	label
123	III	19	label
124	III	20	label
125	III	21	label
126	III	22	label
127	III	23	label
128	III	24	label
129	III	25	label
130	III	26	label
131	III	27	label
132	III	28	label
133	III	29	label
134	III	30	label
135	III	31	label
136	III	32	label
137	III	33	label
138	III	34	label
139	III	35	label
140	III	36	label
141	III	37	label
142	III	38	interpolated
143	III	39	label
144	III	40	label
145	III	41	label
146	III	42	label
147	III	43	label
148	III	44	label
149	III	45	label
150	III	46	label
151	III	47	label
152	III	48	label
153	III	49	label
154	III	50	label
155	III	51	label
156	III	52	label
157	III	53	label
158	III	54	label
159	III	55	label
160	III	56	label
161	III	57	label
162	III	58	label
163	III	59	label
164	III	60	label
165	III	61	label
166	III	62	label
167	III	63	label
168	III	64	label
169	III	65	label
170	III	66	label
171	III	67	label
172	III	68	label
173	III	69	interpolated
174	III	70	label
175	III	71	label
176	III	72	label
177	III	73	label
178	III	74	label
179	III	75	label
180	III	76	label
181	III	77	label
182	III	78	label
183	III	79	label
184	III	80	label
185	III	81	label
186	III	82	label
187	III	83	label
188	III	84	label
189	III	85	label
190	III	86	label
191	III	87	label
192	III	88	label
193	III	89	label
194	III	90	label
195	III	91	label
196	III	92	label
197	III	93	label
198	III	94	label
199	III	95	label
200	III	96	label
201	III	97	interpolated
202	III	98	label
203	III	99	label
204	IV	1	interpolated
205	IV	2	label
206	IV	3	label
207	IV	4	label
208	IV	5	label
209	IV	6	label
210	IV	7	label
211	IV	8	label
212	IV	9	label
213	IV	10	label
214	IV	11	label
215	IV	12	label
216	IV	13	label
217	IV	14	label
218	IV	15	label
219	IV	16	label
220	IV	17	label
221	IV	18	label
222	IV	19	label
223	IV	20	label
224	IV	21	label
225	IV	22	label
226	IV	23	label
227	IV	24	label
228	IV	25	label
229	IV	26	label
230	IV	27	label
231	IV	28	interpolated
232	IV	29	label
233	IV	30	label
234	IV	31	label
235	IV	32	label
236	IV	33	interpolated
237	IV	34	label
238	IV	35	label
239	IV	36	label
240	IV	37	label
241	IV	38	label
242	IV	39	label
243	IV	40	label
244	IV	41	label
245	IV	42	label
246	IV	43	label
247	IV	44	label
248	IV	45	label
249	IV	46	label
250	IV	47	label
251	IV	48	label
252	IV	49	label
253	IV	50	label
254	IV	51	label
255	IV	52	label
256	IV	53	label
257	IV	54	label
258	IV	55	label
259	IV	56	label
260	IV	57	label
261	IV	58	label
262	IV	59	label
263	IV	60	label
264	IV	61	label
265	IV	62	label
266	IV	63	label
267	IV	64	label
268	IV	65	label
269	IV	66	label
270	IV	67	label
271	IV	68	label
272	IV	69	label
273	IV	70	label
274	IV	71	label
275	IV	72	label
276	IV	73	label
277	IV	74	label
278	IV	75	label
279	IV	76	label
280	IV	77	interpolated
281	IV	78	label
282	IV	79	label
283	IV	80	interpolated
284	IV	81	label
285	IV	82	label
286	IV	83	interpolated
287	IV	84	label
288	IV	85	label
289	IV	86	label
290	IV	87	label
291	IV	88	label
292	IV	89	label
293	IV	90	label
294	IV	91	label
295	IV	92	label
296	IV	93	label
297	IV	94	label
298	IV	95	label
299	IV	97	interpolated
300	IV	98	label
301	IV	99	label
302	IV	100	label
303	IV	101	label
304			none
305			none
306			none
307			none
308			none
309			none
310			none
311			none
312			none
313			none
314			none
315			none
316			none
317			none
318			none
319			none
320			none
321			none
322			none
323			none
324			none
325			none
326			none
327			none
328			none
329			none
330			none
331			none
332			none
333			none
334			none
335			none
336			none
337			none
338			none
339			none
340			none
341			none
342			none
343			none
344			none
345			none
346			none
347			none
348			none
349			none
