# Generated by bourbaki pagemap build. Do not edit.
# book=ens-i-iv grammar=foot-number pagination=continuous pdf_pages=418
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5			none
6			none
7			none
8			none
9		1	folio
10		2	folio
11		3	folio
12		4	interpolated
13		5	folio
14		6	folio
15		7	folio
16		8	folio
17		9	folio
18		10	folio
19		11	folio
20		12	folio
21		13	folio
22	I	15	folio
23	I	16	folio
24	I	17	folio
25	I	18	folio
26	I	19	folio
27	I	20	folio
28	I	21	folio
29	I	22	folio
30	I	23	folio
31	I	24	folio
32	I	25	folio
33	I	26	folio
34	I	27	folio
35	I	28	folio
36	I	29	folio
37	I	30	folio
38	I	31	folio
39	I	32	folio
40	I	33	folio
41	I	34	folio
42	I	35	folio
43	I	36	folio
44	I	37	folio
45	I	38	folio
46	I	39	folio
47	I	40	folio
48	I	41	folio
49	I	42	folio
50	I	43	folio
51	I	44	folio
52	I	45	folio
53	I	46	folio
54	I	47	folio
55	I	48	folio
56	I	49	folio
57	I	50	folio
58	I	51	folio
59	I	52	folio
60	I	53	folio
61	I	54	folio
62	I	55	folio
63	I	56	folio
64	I	57	folio
65	I	58	folio
66	I	59	folio
67	I	60	folio
68	I	61	folio
69	I	62	folio
70	I	63	folio
71	I	64	folio
72	II	65	folio
73	II	66	folio
74	II	67	folio
75	II	68	folio
76	II	69	folio
77	II	70	folio
78	II	71	folio
79	II	72	folio
80	II	73	folio
81	II	74	folio
82	II	75	folio
83	II	76	folio
84	II	77	folio
85	II	78	folio
86	II	79	folio
87	II	80	folio
88	II	81	folio
89	II	82	folio
90	II	83	folio
91	II	84	folio
92	II	85	folio
93	II	86	folio
94	II	87	folio
95	II	88	folio
96	II	89	folio
97	II	90	folio
98	II	91	folio
99	II	92	folio
100	II	93	folio
101	II	94	folio
102	II	95	folio
103	II	96	folio
104	II	97	folio
105	II	98	folio
106	II	99	folio
107	II	100	folio
108	II	101	folio
109	II	102	folio
110	II	103	folio
111	II	104	folio
112	II	105	folio
113	II	106	folio
114	II	107	folio
115	II	108	folio
116	II	109	folio
117	II	110	folio
118	II	111	folio
119	II	112	folio
120	II	113	folio
121	II	114	folio
122	II	115	folio
123	II	116	folio
124	II	117	folio
125	II	118	folio
126	II	119	folio
127	II	120	folio
128	II	121	folio
129	II	122	folio
130	II	123	folio
131	II	124	folio
132	II	125	folio
133	II	126	folio
134	II	127	folio
135	II	128	folio
136	II	129	folio
137	III	131	folio
138	III	132	folio
139	III	133	folio
140	III	134	folio
141	III	135	folio
142	III	136	folio
143	III	137	folio
144	III	138	folio
145	III	139	folio
146	III	140	folio
147	III	141	folio
148	III	142	folio
149	III	143	folio
150	III	144	folio
151	III	145	folio
152	III	146	folio
153	III	147	folio
154	III	148	folio
155	III	149	folio
156	III	150	folio
157	III	151	folio
158	III	152	folio
159	III	153	folio
160	III	154	folio
161	III	155	folio
162	III	156	folio
163	III	157	folio
164	III	158	folio
165	III	159	folio
166	III	160	folio
167	III	161	folio
168	III	162	folio
169	III	163	folio
170	III	164	folio
171	III	165	folio
172	III	166	folio
173	III	167	folio
174	III	168	folio
175	III	169	folio
176	III	170	folio
177	III	171	folio
178	III	172	folio
179	III	173	folio
180	III	174	folio
181	III	175	folio
182	III	176	folio
183	III	177	folio
184	III	178	folio
185	III	179	folio
186	III	180	folio
187	III	181	folio
188	III	182	folio
189	III	183	folio
190	III	184	folio
191	III	185	folio
192	III	186	folio
193	III	187	folio
194	III	188	folio
195	III	189	folio
196	III	190	folio
197	III	191	folio
198	III	192	folio
199	III	193	folio
200	III	194	folio
201	III	195	folio
202	III	196	folio
203	III	197	folio
204	III	198	folio
205	III	199	folio
206	III	200	folio
207	III	201	folio
208	III	202	folio
209	III	203	folio
210	III	204	folio
211	III	205	folio
212	III	206	folio
213	III	207	folio
214	III	208	folio
215	III	209	folio
216	III	210	folio
217	III	211	folio
218	III	212	folio
219	III	213	folio
220	III	214	folio
221	III	215	folio
222	III	216	folio
223	III	217	folio
224	III	218	folio
225	III	219	folio
226	III	220	folio
227	III	221	folio
228	III	222	folio
229	III	223	folio
230	III	224	folio
231	III	225	folio
232	III	226	folio
233	III	227	folio
234	III	228	folio
235	III	229	folio
236	III	230	folio
237	III	231	folio
238	III	232	folio
239	III	233	folio
240	III	234	folio
241	III	235	folio
242	III	236	folio
243	III	237	folio
244	III	238	folio
245	III	239	folio
246	III	240	folio
247	III	241	folio
248	III	242	folio
249	III	243	folio
250	III	244	folio
251	III	245	folio
252	III	246	folio
253	III	247	folio
254	III	248	folio
255	III	249	folio
256	III	250	folio
257	III	251	folio
258	III	252	folio
259	III	253	folio
260	III	254	folio
261	III	255	folio
262	III	256	folio
263	III	257	folio
264	IV	259	folio
265	IV	260	folio
266	IV	261	folio
267	IV	262	folio
268	IV	263	folio
269	IV	264	folio
270	IV	265	folio
271	IV	266	folio
272	IV	267	folio
273	IV	268	folio
274	IV	269	folio
275	IV	270	folio
276	IV	271	folio
277	IV	272	folio
278	IV	273	folio
279	IV	274	folio
280	IV	275	folio
281	IV	276	folio
282	IV	277	folio
283	IV	278	folio
284	IV	279	folio
285	IV	280	folio
286	IV	281	folio
287	IV	282	folio
288	IV	283	folio
289	IV	284	folio
290	IV	285	folio
291	IV	286	folio
292	IV	287	folio
293	IV	288	folio
294	IV	289	folio
295	IV	290	folio
296	IV	291	folio
297	IV	292	folio
298	IV	293	folio
299	IV	294	folio
300	IV	295	folio
301	IV	296	folio
302	IV	297	folio
303	IV	298	folio
304	IV	299	folio
305	IV	300	folio
306	IV	301	folio
307	IV	302	folio
308	IV	303	folio
309	IV	304	folio
310	IV	305	folio
311	IV	306	folio
312	IV	307	folio
313	IV	308	folio
314	IV	309	folio
315	IV	310	folio
316	IV	311	folio
317	IV	312	folio
318	IV	313	folio
319	IV	314	folio
320	IV	315	folio
321	IV	316	folio
322	IV	317	folio
323	IV	318	folio
324	IV	319	folio
325	IV	320	folio
326	IV	321	folio
327	IV	322	folio
328	IV	323	folio
329	IV	324	folio
330	IV	325	folio
331	IV	326	folio
332	IV	327	folio
333	IV	328	folio
334	IV	329	folio
335	IV	330	folio
336	IV	331	folio
337	IV	332	folio
338	IV	333	folio
339	IV	334	folio
340	IV	335	folio
341	IV	336	folio
342	IV	337	folio
343	IV	338	folio
344	IV	339	folio
345	IV	340	folio
346	IV	341	folio
347	IV	342	folio
348	IV	343	folio
349	IV	344	folio
350	IV	345	folio
351	IV	346	folio
352	IV	347	folio
353	IV	348	folio
354	IV	349	folio
355	IV	350	folio
356	IV	351	folio
357	IV	352	folio
358	IV	353	folio
359	IV	354	folio
360	IV	355	folio
361	IV	356	folio
362	IV	357	folio
363	IV	358	folio
364	IV	359	folio
365	IV	360	folio
366	IV	361	folio
367	IV	362	folio
368	IV	363	folio
369	IV	364	folio
370	IV	365	folio
371	IV	366	folio
372	IV	367	folio
373	IV	368	folio
374	IV	369	folio
375	IV	370	folio
376	IV	371	folio
377	IV	372	folio
378	IV	373	folio
379	IV	374	folio
380	IV	375	folio
381	IV	376	folio
382	IV	377	folio
383	IV	378	folio
384	IV	379	folio
385	IV	380	folio
386	IV	381	folio
387	IV	382	folio
388	IV	383	folio
389	IV	384	folio
390	IV	385	folio
391	IV	387	folio
392	IV	388	folio
393	IV	389	folio
394	IV	390	folio
395	IV	391	folio
396	IV	392	folio
397	IV	393	folio
398	IV	394	folio
399	IV	395	folio
400	IV	396	folio
401	IV	397	folio
402	IV	398	folio
403	IV	399	folio
404	IV	400	folio
405	IV	401	folio
406	IV	402	folio
407	IV	403	folio
408	IV	404	folio
409	IV	405	folio
410	IV	406	folio
411	IV	407	folio
412	IV	408	folio
413	IV	409	folio
414	IV	410	folio
415	IV	411	folio
416	IV	412	folio
417	IV	413	folio
418	IV	414	folio
