# Generated by bourbaki pagemap build. Do not edit.
# book=fvr-i-vii-fr grammar=head-label pagination=per-chapter prefix=FVR first_page=3 pdf_pages=329
pdf_page	chapter	page	confidence
1	I	3	interpolated
2	I	4	interpolated
3	I	5	interpolated
4	I	6	interpolated
5	I	7	interpolated
6	I	8	interpolated
7	I	9	interpolated
8	I	10	interpolated
9	I	11	interpolated
10	I	12	head
11	I	13	head
12	I	14	head
13	I	15	head
14	I	16	head
15	I	17	head
16	I	18	head
17	I	19	head
18	I	20	head
19	I	21	head
20	I	22	head
21	I	23	head
22	I	24	head
23	I	25	head
24	I	26	head
25	I	27	head
26	I	28	head
27	I	29	head
28	I	30	head
29	I	31	head
30	I	32	interpolated
31	I	33	head
32	I	34	head
33	I	35	head
34	I	36	head
35	I	37	head
36	I	38	head
37	I	39	head
38	I	40	head
39	I	41	head
40	I	42	interpolated
41	I	43	head
42	I	44	head
43	I	45	head
44	I	46	head
45	I	47	head
46	I	48	head
47	I	49	head
48	I	50	head
49	I	51	head
50	I	52	interpolated
51	I	53	head
52	I	54	head
53	II	1	interpolated
54	II	2	head
55	II	3	head
56	II	4	head
57	II	5	head
58	II	6	head
59	II	7	head
60	II	8	head
61	II	9	head
62	II	10	head
63	II	11	head
64	II	12	head
65	II	13	head
66	II	14	head
67	II	15	head
68	II	16	head
69	II	17	head
70	II	18	head
71	II	19	head
72	II	20	head
73	II	21	head
74	II	22	head
75	II	23	head
76	II	24	head
77	II	25	head
78	II	26	head
79	II	27	head
80	II	28	head
81	II	29	interpolated
82	II	30	head
83	II	31	head
84	II	32	head
85	II	33	head
86	II	34	head
87	II	35	head
88	II	36	head
89	II	37	head
90	II	38	head
91	III	1	interpolated
92	III	2	head
93	III	3	head
94	III	4	head
95	III	5	head
96	III	6	head
97	III	7	head
98	III	8	head
99	III	9	head
100	III	10	head
101	III	11	head
102	III	12	head
103	III	13	head
104	III	14	head
105	III	15	head
106	III	16	head
107	III	17	head
108	III	18	head
109	III	19	head
110	III	20	head
111	III	21	head
112	III	22	head
113	III	23	head
114	III	24	interpolated
115	III	25	head
116	III	26	head
117	III	27	head
118	III	28	head
119	III	29	head
120	III	30	head
121	III	31	head
122	III	32	head
123	III	33	head
124	III	34	head
125	III	35	interpolated
126	III	36	head
127	III	37	head
128	III	38	head
129	III	39	head
130	III	40	head
131	III	41	head
132	III	42	head
133	III	43	head
134	III	44	head
135	III	45	head
136	III	46	head
137	III	47	head
138	III	48	head
139	III	49	head
140	III	50	head
141	III	51	head
142	III	52	head
143	III	53	interpolated
144	III	54	head
145	III	55	head
146	III	56	head
147	III	57	head
148	III	58	head
149	III	59	head
150	III	60	head
151	III	61	head
152	III	62	head
153	III	63	head
154	III	64	head
155	III	65	head
156	III	66	head
157	III	67	interpolated
158	III	68	head
159	III	69	head
160	IV	1	interpolated
161	IV	2	head
162	IV	3	head
163	IV	4	head
164	IV	5	head
165	IV	6	head
166	IV	7	head
167	IV	8	head
168	IV	9	interpolated
169	IV	10	interpolated
170	IV	11	head
171	IV	12	head
172	IV	13	head
173	IV	14	head
174	IV	15	head
175	IV	16	head
176	IV	17	head
177	IV	18	head
178	IV	19	head
179	IV	20	head
180	IV	21	head
181	IV	22	interpolated
182	IV	23	head
183	IV	24	head
184	IV	25	head
185	IV	26	head
186	IV	27	head
187	IV	28	head
188	IV	29	head
189	IV	30	interpolated
190	IV	31	head
191	IV	32	head
192	IV	33	head
193	IV	34	head
194	IV	35	head
195	IV	36	head
196	IV	37	interpolated
197	IV	38	head
198	IV	39	head
199	IV	40	head
200	IV	41	head
201	IV	42	head
202	IV	43	head
203	IV	44	interpolated
204	IV	45	head
205	IV	46	interpolated
206	V	1	interpolated
207	V	2	head
208	V	3	interpolated
209	V	4	head
210	V	5	head
211	V	6	interpolated
212	V	7	interpolated
213	V	8	head
214	V	9	head
215	V	10	head
216	V	11	head
217	V	12	head
218	V	13	head
219	V	14	head
220	V	15	head
221	V	16	head
222	V	17	head
223	V	18	head
224	V	19	head
225	V	20	head
226	V	21	head
227	V	22	head
228	V	23	head
229	V	24	head
230	V	25	head
231	V	26	head
232	V	27	head
233	V	28	head
234	V	29	head
235	V	30	head
236	V	31	head
237	V	32	head
238	V	33	head
239	V	34	head
240	V	35	head
241	V	36	interpolated
242	V	37	head
243	V	38	head
244	V	39	interpolated
245	V	40	head
246	V	41	head
247	V	42	head
248	V	43	head
249	V	44	head
250	V	45	head
251	V	46	head
252	V	47	head
253	V	48	interpolated
254	V	49	head
255	V	50	head
256	V	51	head
257	V	52	head
258	V	53	interpolated
259	V	54	head
260	V	55	head
261	VI	1	interpolated
262	VI	2	head
263	VI	3	head
264	VI	4	head
265	VI	5	head
266	VI	6	head
267	VI	7	head
268	VI	8	head
269	VI	9	head
270	VI	10	interpolated
271	VI	11	head
272	VI	12	head
273	VI	13	head
274	VI	14	head
275	VI	15	head
276	VI	16	head
277	VI	17	head
278	VI	18	head
279	VI	19	head
280	VI	20	head
281	VI	21	head
282	VI	22	interpolated
283	VI	23	head
284	VI	24	head
285	VI	25	head
286	VI	26	head
287	VI	27	interpolated
288	VI	28	head
289	VI	29	head
290	VI	30	head
291	VI	31	interpolated
292	VII	1	interpolated
293	VII	2	interpolated
294	VII	3	head
295	VII	4	interpolated
296	VII	5	head
297	VII	6	head
298	VII	7	head
299	VII	8	head
300	VII	9	head
301	VII	10	head
302	VII	11	interpolated
303	VII	12	head
304	VII	13	head
305	VII	14	interpolated
306	VII	15	head
307	VII	16	head
308	VII	17	head
309	VII	18	head
310	VII	19	interpolated
311	VII	20	head
312	VII	21	head
313	VII	22	head
314	VII	23	interpolated
315	VII	24	head
316	VII	25	interpolated
317	VII	26	interpolated
318	VII	27	interpolated
319	VII	28	head
320	VII	29	head
321	VII	30	head
322	VII	31	head
323	VII	32	head
324	VII	33	interpolated
325	VII	34	head
326	VII	35	interpolated
327	VII	36	head
328			none
329			none
