# Generated by bourbaki pagemap build. Do not edit.
# book=int-i-iv-fr grammar=head-number pagination=continuous pdf_pages=293
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5	I	1	interpolated
6	I	2	interpolated
7	I	3	head
8	I	4	head
9	I	5	head
10	I	6	head
11	I	7	head
12	I	8	head
13	I	9	interpolated
14	I	10	interpolated
15	I	11	head
16	I	12	head
17	I	13	head
18	I	14	head
19	I	15	interpolated
20	I	16	head
21	II	17	interpolated
22	II	18	head
23	II	19	interpolated
24	II	20	head
25	II	21	interpolated
26	II	22	head
27	II	23	interpolated
28	II	24	head
29	II	25	interpolated
30	II	26	head
31	II	27	interpolated
32	II	28	head
33	II	29	interpolated
34	II	30	head
35	III	31	interpolated
36	III	32	interpolated
37	III	33	head
38	III	34	head
39	III	35	head
40	III	36	head
41	III	37	head
42	III	38	head
43	III	39	head
44	III	40	interpolated
45	III	41	interpolated
46	III	42	head
47	III	43	interpolated
48	III	44	head
49	III	45	interpolated
50	III	46	head
51	III	47	head
52	III	48	head
53	III	49	interpolated
54	III	50	head
55	III	51	head
56	III	52	head
57	III	53	interpolated
58	III	54	head
59	III	55	head
60	III	56	head
61	III	57	interpolated
62	III	58	head
63	III	59	interpolated
64	III	60	head
65	III	61	head
66	III	62	head
67	III	63	interpolated
68	III	64	head
69	III	65	interpolated
70	III	66	head
71	III	67	head
72	III	68	head
73	III	69	interpolated
74	III	70	head
75	III	71	interpolated
76	III	72	head
77	III	73	head
78	III	74	head
79	III	75	interpolated
80	III	76	head
81	III	77	interpolated
82	III	78	head
83	III	79	interpolated
84	III	80	interpolated
85	III	81	interpolated
86	III	82	head
87	III	83	head
88	III	84	head
89	III	85	head
90	III	86	head
91	III	87	head
92	III	88	interpolated
93	III	89	head
94	III	90	head
95	III	91	head
96	III	92	head
97	III	93	head
98	III	94	head
99	III	95	head
100	III	96	head
101	III	97	head
102	III	98	head
103	III	99	head
104	III	100	interpolated
105	III	101	head
106	III	102	head
107	IV	103	head
108	IV	104	head
109	IV	105	interpolated
110	IV	106	interpolated
111	IV	107	interpolated
112	IV	108	head
113	IV	109	interpolated
114	IV	110	head
115	IV	111	interpolated
116	IV	112	interpolated
117	IV	113	interpolated
118	IV	114	head
119	IV	115	interpolated
120	IV	116	head
121	IV	117	interpolated
122	IV	118	head
123	IV	119	interpolated
124	IV	120	head
125	IV	121	interpolated
126	IV	122	head
127	IV	123	head
128	IV	124	head
129	IV	125	head
130	IV	126	head
131	IV	127	head
132	IV	128	head
133	IV	129	interpolated
134	IV	130	head
135	IV	131	head
136	IV	132	head
137	IV	133	head
138	IV	134	head
139	IV	135	head
140	IV	136	head
141	IV	137	head
142	IV	138	head
143	IV	139	head
144	IV	140	head
145	IV	141	interpolated
146	IV	142	head
147	IV	143	interpolated
148	IV	144	head
149	IV	145	interpolated
150	IV	146	head
151	IV	147	interpolated
152	IV	148	head
153	IV	149	interpolated
154	IV	150	head
155	IV	151	interpolated
156	IV	152	head
157	IV	153	interpolated
158	IV	154	head
159	IV	155	interpolated
160	IV	156	head
161	IV	157	interpolated
162	IV	158	interpolated
163	IV	159	interpolated
164	IV	160	head
165	IV	161	interpolated
166	IV	162	head
167	IV	163	interpolated
168	IV	164	head
169	IV	165	interpolated
170	IV	166	head
171	IV	167	interpolated
172	IV	168	head
173	IV	169	head
174	IV	170	head
175	IV	171	head
176	IV	172	head
177	IV	173	head
178	IV	174	head
179	IV	175	head
180	IV	176	head
181	IV	177	head
182	IV	178	head
183	IV	179	head
184	IV	180	head
185	IV	181	head
186	IV	182	head
187	IV	183	head
188	IV	184	head
189	IV	185	head
190	IV	186	head
191	IV	187	head
192	IV	188	head
193	IV	189	head
194	IV	190	head
195	IV	191	head
196	IV	192	head
197	IV	193	head
198	IV	194	head
199	IV	195	head
200	IV	196	head
201	IV	197	head
202	IV	198	head
203	IV	199	head
204	IV	200	head
205	IV	201	head
206	IV	202	head
207	IV	203	interpolated
208	IV	204	head
209	IV	205	interpolated
210	IV	206	head
211	IV	207	interpolated
212	IV	208	head
213	IV	209	interpolated
214	IV	210	head
215	IV	211	interpolated
216	IV	212	head
217	IV	213	interpolated
218	IV	214	head
219	IV	215	head
220	IV	216	head
221	IV	217	head
222	IV	218	head
223	IV	219	head
224	IV	220	head
225	IV	221	interpolated
226	IV	222	head
227	IV	223	head
228	IV	224	head
229	IV	225	head
230	IV	226	head
231	IV	227	head
232	IV	228	head
233	IV	229	head
234	IV	230	head
235	IV	231	head
236	IV	232	head
237	IV	233	head
238	IV	234	head
239	IV	235	head
240	IV	236	head
241	IV	237	head
242	IV	238	head
243	IV	239	interpolated
244	IV	240	head
245	IV	241	head
246	IV	242	head
247	IV	243	head
248	IV	244	head
249	IV	245	interpolated
250	IV	246	head
251	IV	247	head
252	IV	248	head
253	IV	249	head
254	IV	250	head
255	IV	251	head
256	IV	252	head
257	IV	253	interpolated
258	IV	254	head
259	IV	255	head
260	IV	256	interpolated
261	IV	257	head
262	IV	258	head
263	IV	259	head
264	IV	260	head
265	IV	261	head
266	IV	262	head
267	IV	263	head
268	IV	264	head
269	IV	265	head
270	IV	266	head
271	IV	267	head
272	IV	268	head
273	IV	269	head
274	IV	270	head
275	IV	271	head
276	IV	272	interpolated
277	IV	273	head
278	IV	274	interpolated
279	IV	275	interpolated
280	IV	276	head
281	IV	277	interpolated
282	IV	278	interpolated
283	IV	279	interpolated
284	IV	280	interpolated
285	IV	281	interpolated
286	IV	282	head
287	IV	283	head
288	IV	284	interpolated
289	IV	285	interpolated
290	IV	286	interpolated
291	IV	287	interpolated
292	IV	288	interpolated
293	IV	289	interpolated
