# Generated by bourbaki pagemap build. Do not edit.
# book=int-i-vi grammar=head-label pagination=per-chapter prefix=INT pdf_pages=487
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5			none
6			none
7			none
8			none
9			none
10			none
11			none
12			none
13			none
14			none
15			none
16	I	1	interpolated
17	I	2	head
18	I	3	head
19	I	4	head
20	I	5	head
21	I	6	interpolated
22	I	7	head
23	I	8	interpolated
24	I	9	head
25	II	1	interpolated
26	II	2	head
27	II	3	head
28	II	4	head
29	II	5	head
30	II	6	head
31	II	7	head
32	II	8	head
33	II	9	head
34	II	10	head
35	II	11	head
36	II	12	head
37	II	13	head
38	II	14	head
39	II	15	interpolated
40	II	16	head
41	II	17	head
42	II	18	head
43	II	19	head
44	II	20	interpolated
45	II	21	interpolated
46	III	1	interpolated
47	III	2	head
48	III	3	head
49	III	4	head
50	III	5	head
51	III	6	head
52	III	7	head
53	III	8	interpolated
54	III	9	head
55	III	10	head
56	III	11	head
57	III	12	head
58	III	13	head
59	III	14	head
60	III	15	head
61	III	16	head
62	III	17	head
63	III	18	head
64	III	19	head
65	III	20	head
66	III	21	head
67	III	22	head
68	III	23	head
69	III	24	head
70	III	25	head
71	III	26	head
72	III	27	interpolated
73	III	28	head
74	III	29	head
75	III	30	head
76	III	31	head
77	III	32	head
78	III	33	head
79	III	34	head
80	III	35	head
81	III	36	head
82	III	37	head
83	III	38	head
84	III	39	head
85	III	40	head
86	III	41	interpolated
87	III	42	head
88	III	43	head
89	III	44	head
90	III	45	head
91	III	46	head
92	III	47	head
93	III	48	head
94	III	49	head
95	III	50	head
96	III	51	head
97	III	52	head
98	III	53	head
99	III	54	head
100	III	55	interpolated
101	III	56	head
102	III	57	head
103	III	58	head
104	III	59	head
105	III	60	head
106	III	61	head
107	III	62	head
108	IV	1	interpolated
109	IV	2	head
110	IV	3	head
111	IV	4	head
112	IV	5	head
113	IV	6	head
114	IV	7	head
115	IV	8	interpolated
116	IV	9	head
117	IV	10	head
118	IV	11	interpolated
119	IV	12	head
120	IV	13	head
121	IV	14	head
122	IV	15	head
123	IV	16	head
124	IV	17	head
125	IV	18	head
126	IV	19	head
127	IV	20	head
128	IV	21	head
129	IV	22	head
130	IV	23	head
131	IV	24	head
132	IV	25	head
133	IV	26	head
134	IV	27	head
135	IV	28	head
136	IV	29	head
137	IV	30	head
138	IV	31	head
139	IV	32	head
140	IV	33	head
141	IV	34	head
142	IV	35	head
143	IV	36	head
144	IV	37	head
145	IV	38	head
146	IV	39	head
147	IV	40	head
148	IV	41	interpolated
149	IV	42	head
150	IV	43	head
151	IV	44	head
152	IV	45	head
153	IV	46	head
154	IV	47	head
155	IV	48	head
156	IV	49	head
157	IV	50	head
158	IV	51	head
159	IV	52	head
160	IV	53	head
161	IV	54	head
162	IV	55	head
163	IV	56	head
164	IV	57	head
165	IV	58	head
166	IV	59	head
167	IV	60	head
168	IV	61	head
169	IV	62	head
170	IV	63	head
171	IV	64	head
172	IV	65	head
173	IV	66	head
174	IV	67	head
175	IV	68	head
176	IV	69	head
177	IV	70	head
178	IV	71	head
179	IV	72	head
180	IV	73	head
181	IV	74	head
182	IV	75	head
183	IV	76	head
184	IV	77	head
185	IV	78	head
186	IV	79	head
187	IV	80	head
188	IV	81	head
189	IV	82	head
190	IV	83	head
191	IV	84	head
192	IV	85	head
193	IV	86	head
194	IV	87	head
195	IV	88	head
196	IV	89	head
197	IV	90	head
198	IV	91	head
199	IV	92	head
200	IV	93	head
201	IV	94	head
202	IV	95	head
203	IV	96	head
204	IV	97	head
205	IV	98	head
206	IV	99	head
207	IV	100	head
208	IV	101	interpolated
209	IV	102	head
210	IV	103	head
211	IV	104	head
212	IV	105	head
213	IV	106	head
214	IV	107	head
215	IV	108	head
216	IV	109	head
217	IV	110	interpolated
218	IV	111	interpolated
219	IV	112	head
220	IV	113	interpolated
221	IV	114	head
222	IV	115	head
223	IV	116	head
224	IV	117	head
225	IV	118	interpolated
226	IV	119	head
227	IV	120	head
228	IV	121	head
229	IV	122	head
230	IV	123	head
231	IV	124	head
232	IV	125	head
233	IV	126	head
234	IV	127	head
235	IV	128	head
236	IV	129	head
237	IV	130	head
238	IV	131	head
239	IV	132	head
240	IV	133	head
241	IV	134	head
242	IV	135	head
243	IV	136	head
244	IV	137	head
245	IV	138	head
246	IV	139	head
247	IV	140	head
248	IV	141	head
249	IV	142	head
250	IV	143	head
251	IV	144	head
252	IV	145	head
253	IV	146	head
254	IV	147	head
255	IV	148	head
256	V	1	interpolated
257	V	2	head
258	V	3	head
259	V	4	head
260	V	5	head
261	V	6	head
262	V	7	head
263	V	8	head
264	V	9	head
265	V	10	interpolated
266	V	11	interpolated
267	V	12	head
268	V	13	head
269	V	14	head
270	V	15	head
271	V	16	head
272	V	17	head
273	V	18	head
274	V	19	head
275	V	20	head
276	V	21	head
277	V	22	head
278	V	23	head
279	V	24	head
280	V	25	head
281	V	26	head
282	V	27	head
283	V	28	head
284	V	29	head
285	V	30	head
286	V	31	head
287	V	32	head
288	V	33	head
289	V	34	head
290	V	35	head
291	V	36	head
292	V	37	head
293	V	38	head
294	V	39	head
295	V	40	head
296	V	41	head
297	V	42	head
298	V	43	head
299	V	44	head
300	V	45	head
301	V	46	head
302	V	47	head
303	V	48	head
304	V	49	interpolated
305	V	50	head
306	V	51	head
307	V	52	head
308	V	53	head
309	V	54	head
310	V	55	head
311	V	56	head
312	V	57	head
313	V	58	head
314	V	59	head
315	V	60	head
316	V	61	head
317	V	62	head
318	V	63	head
319	V	64	head
320	V	65	head
321	V	66	head
322	V	67	head
323	V	68	head
324	V	69	head
325	V	70	head
326	V	71	head
327	V	72	head
328	V	73	head
329	V	74	head
330	V	75	head
331	V	76	head
332	V	77	head
333	V	78	head
334	V	79	head
335	V	80	head
336	V	81	head
337	V	82	interpolated
338	V	83	head
339	V	84	interpolated
340	V	85	head
341	V	86	head
342	V	87	head
343	V	88	head
344	V	89	head
345	V	90	head
346	V	91	head
347	V	92	head
348	V	93	head
349	V	94	interpolated
350	V	95	head
351	V	96	head
352	V	97	head
353	V	98	head
354	V	99	head
355	V	100	interpolated
356	V	101	head
357	V	102	head
358	V	103	head
359	V	104	interpolated
360	V	105	head
361	V	106	head
362	V	107	head
363	V	108	head
364	V	109	head
365	V	110	interpolated
366	V	111	head
367	V	112	head
368	V	113	head
369	V	114	head
370	V	115	head
371	V	116	head
372	V	117	head
373	V	118	head
374	V	119	head
375	V	120	head
376	V	121	head
377	V	122	head
378	V	123	interpolated
379	V	124	head
380	V	125	head
381	V	126	head
382	V	127	head
383	V	128	head
384	V	129	interpolated
385	V	130	head
386	V	131	head
387	V	132	head
388	V	133	head
389	V	134	interpolated
390	V	135	head
391	V	136	head
392	VI	1	interpolated
393	VI	2	head
394	VI	3	head
395	VI	4	head
396	VI	5	head
397	VI	6	head
398	VI	7	head
399	VI	8	head
400	VI	9	head
401	VI	10	head
402	VI	11	head
403	VI	12	head
404	VI	13	head
405	VI	14	head
406	VI	15	head
407	VI	16	head
408	VI	17	head
409	VI	18	head
410	VI	19	head
411	VI	20	head
412	VI	21	head
413	VI	22	head
414	VI	23	head
415	VI	24	head
416	VI	25	head
417	VI	26	head
418	VI	27	head
419	VI	28	head
420	VI	29	head
421	VI	30	interpolated
422	VI	31	head
423	VI	32	head
424	VI	33	head
425	VI	34	head
426	VI	35	head
427	VI	36	head
428	VI	37	head
429	VI	38	head
430	VI	39	head
431	VI	40	head
432	VI	41	interpolated
433	VI	42	head
434	VI	43	head
435	VI	44	head
436	VI	45	head
437	VI	46	head
438	VI	47	head
439	VI	48	head
440	VI	49	head
441	VI	50	head
442	VI	51	head
443	VI	52	interpolated
444	VI	53	head
445	VI	54	head
446	VI	55	head
447	VI	56	interpolated
448	VI	57	head
449	VI	58	head
450	VI	59	head
451	VI	60	head
452	VI	61	head
453	VI	62	head
454	VI	63	head
455	VI	64	head
456	VI	65	head
457	VI	66	head
458	VI	67	head
459	VI	68	head
460	VI	69	head
461	VI	70	head
462	VI	71	head
463	VI	72	interpolated
464	VI	73	head
465			none
466			none
467			none
468			none
469			none
470			none
471			none
472			none
473			none
474			none
475			none
476			none
477			none
478			none
479			none
480			none
481			none
482			none
483			none
