# Generated by bourbaki pagemap build. Do not edit.
# book=int-v-fr grammar=head-number pagination=continuous pdf_pages=159
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5			none
6	V	1	interpolated
7	V	2	interpolated
8	V	3	interpolated
9	V	4	head
10	V	5	interpolated
11	V	6	head
12	V	7	interpolated
13	V	8	head
14	V	9	interpolated
15	V	10	interpolated
16	V	11	interpolated
17	V	12	head
18	V	13	head
19	V	14	head
20	V	15	head
21	V	16	head
22	V	17	interpolated
23	V	18	head
24	V	19	interpolated
25	V	20	head
26	V	21	interpolated
27	V	22	head
28	V	23	interpolated
29	V	24	head
30	V	25	interpolated
31	V	26	head
32	V	27	interpolated
33	V	28	head
34	V	29	interpolated
35	V	30	head
36	V	31	interpolated
37	V	32	head
38	V	33	interpolated
39	V	34	head
40	V	35	interpolated
41	V	36	head
42	V	37	interpolated
43	V	38	head
44	V	39	interpolated
45	V	40	interpolated
46	V	41	interpolated
47	V	42	head
48	V	43	interpolated
49	V	44	interpolated
50	V	45	interpolated
51	V	46	head
52	V	47	interpolated
53	V	48	head
54	V	49	interpolated
55	V	50	head
56	V	51	interpolated
57	V	52	head
58	V	53	interpolated
59	V	54	head
60	V	55	interpolated
61	V	56	head
62	V	57	interpolated
63	V	58	head
64	V	59	interpolated
65	V	60	head
66	V	61	interpolated
67	V	62	head
68	V	63	interpolated
69	V	64	head
70	V	65	interpolated
71	V	66	head
72	V	67	interpolated
73	V	68	head
74	V	69	interpolated
75	V	70	head
76	V	71	interpolated
77	V	72	head
78	V	73	interpolated
79	V	74	head
80	V	75	interpolated
81	V	76	head
82	V	77	interpolated
83	V	78	head
84	V	79	head
85	V	80	interpolated
86	V	81	interpolated
87	V	82	interpolated
88	V	83	interpolated
89	V	84	head
90	V	85	interpolated
91	V	86	head
92	V	87	head
93	V	88	head
94	V	89	head
95	V	90	head
96	V	91	head
97	V	92	head
98	V	93	head
99	V	94	head
100	V	95	head
101	V	96	head
102	V	97	head
103	V	98	head
104	V	99	head
105	V	100	interpolated
106	V	101	head
107	V	102	head
108	V	103	interpolated
109	V	104	head
110	V	105	head
111	V	106	head
112	V	107	head
113	V	108	head
114	V	109	head
115	V	110	head
116	V	111	head
117	V	112	head
118	V	113	head
119	V	114	head
120	V	115	head
121	V	116	head
122	V	117	head
123	V	118	head
124	V	119	head
125	V	120	head
126	V	121	interpolated
127	V	122	head
128	V	123	interpolated
129	V	124	head
130	V	125	head
131	V	126	head
132	V	127	head
133	V	128	head
134	V	129	head
135	V	130	head
136	V	131	head
137	V	132	head
138	V	133	head
139	V	134	head
140	V	135	head
141	V	136	interpolated
142	V	137	head
143	V	138	interpolated
144	V	139	head
145	V	140	interpolated
146	V	141	head
147	V	142	interpolated
148	V	143	head
149	V	144	interpolated
150	V	145	head
151	V	146	interpolated
152	V	147	interpolated
153	V	148	interpolated
154	V	149	interpolated
155	V	150	head
156	V	151	interpolated
157	V	152	interpolated
158	V	153	interpolated
159	V	154	interpolated
