# Generated by bourbaki pagemap build. Do not edit.
# book=int-vi-fr grammar=head-number pagination=continuous pdf_pages=106
pdf_page	chapter	page	confidence
1		1	interpolated
2		2	interpolated
3		3	interpolated
4		4	interpolated
5		5	interpolated
6		6	interpolated
7	VI	7	interpolated
8	VI	8	interpolated
9	VI	9	interpolated
10	VI	10	interpolated
11	VI	11	interpolated
12	VI	12	interpolated
13	VI	13	interpolated
14	VI	14	interpolated
15	VI	15	interpolated
16	VI	16	interpolated
17	VI	17	interpolated
18	VI	18	interpolated
19	VI	19	interpolated
20	VI	20	interpolated
21	VI	21	interpolated
22	VI	22	interpolated
23	VI	23	head
24	VI	24	interpolated
25	VI	25	interpolated
26	VI	26	interpolated
27	VI	27	interpolated
28	VI	28	interpolated
29	VI	29	head
30	VI	30	interpolated
31	VI	31	head
32	VI	32	interpolated
33	VI	33	head
34	VI	34	interpolated
35	VI	35	head
36	VI	36	interpolated
37	VI	37	interpolated
38	VI	38	interpolated
39	VI	39	head
40	VI	40	interpolated
41	VI	41	head
42	VI	42	interpolated
43	VI	43	head
44	VI	44	interpolated
45	VI	45	head
46	VI	46	interpolated
47	VI	47	head
48	VI	48	interpolated
49	VI	49	head
50	VI	50	interpolated
51	VI	51	head
52	VI	52	interpolated
53	VI	53	head
54	VI	54	interpolated
55	VI	55	head
56	VI	56	interpolated
57	VI	57	interpolated
58	VI	58	interpolated
59	VI	59	interpolated
60	VI	60	interpolated
61	VI	61	head
62	VI	62	interpolated
63	VI	63	interpolated
64	VI	64	interpolated
65	VI	65	interpolated
66	VI	66	interpolated
67	VI	67	interpolated
68	VI	68	interpolated
69	VI	69	interpolated
70	VI	70	interpolated
71	VI	71	interpolated
72	VI	72	interpolated
73	VI	73	interpolated
74	VI	74	interpolated
75	VI	75	head
76	VI	76	interpolated
77	VI	77	head
78	VI	78	interpolated
79	VI	79	head
80	VI	80	interpolated
81	VI	81	head
82	VI	82	interpolated
83	VI	83	head
84	VI	84	interpolated
85	VI	85	head
86	VI	86	interpolated
87	VI	87	head
88	VI	88	interpolated
89	VI	89	interpolated
90	VI	90	interpolated
91	VI	91	head
92	VI	92	interpolated
93	VI	93	head
94	VI	94	interpolated
95	VI	95	head
96	VI	96	interpolated
97	VI	97	interpolated
98	VI	98	interpolated
99	VI	99	head
100	VI	100	interpolated
101	VI	101	head
102	VI	102	interpolated
103	VI	103	interpolated
104	VI	104	interpolated
105	VI	105	interpolated
106	VI	106	interpolated
