# Generated by bourbaki pagemap build. Do not edit.
# book=int-vii-ix grammar=head-label pagination=per-chapter prefix=INT pdf_pages=332
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5			none
6			none
7	VII	1	interpolated
8	VII	2	label
9	VII	3	label
10	VII	4	label
11	VII	5	label
12	VII	6	label
13	VII	7	label
14	VII	8	label
15	VII	9	label
16	VII	10	label
17	VII	11	label
18	VII	12	label
19	VII	13	label
20	VII	14	label
21	VII	15	label
22	VII	16	label
23	VII	17	label
24	VII	18	label
25	VII	19	label
26	VII	20	label
27	VII	21	label
28	VII	22	label
29	VII	23	label
30	VII	24	label
31	VII	25	label
32	VII	26	label
33	VII	27	label
34	VII	28	label
35	VII	29	label
36	VII	30	label
37	VII	31	label
38	VII	32	label
39	VII	33	label
40	VII	34	label
41	VII	35	label
42	VII	36	label
43	VII	37	label
44	VII	38	label
45	VII	39	label
46	VII	40	label
47	VII	41	label
48	VII	42	label
49	VII	43	label
50	VII	44	label
51	VII	45	label
52	VII	46	label
53	VII	47	label
54	VII	48	label
55	VII	49	label
56	VII	50	label
57	VII	51	label
58	VII	52	label
59	VII	53	label
60	VII	54	label
61	VII	55	label
62	VII	56	label
63	VII	57	label
64	VII	58	label
65	VII	59	label
66	VII	60	label
67	VII	61	label
68	VII	62	label
69	VII	63	label
70	VII	64	label
71	VII	65	label
72	VII	66	label
73	VII	67	label
74	VII	68	label
75	VII	69	label
76	VII	70	label
77	VII	71	label
78	VII	72	label
79	VII	73	label
80	VII	74	interpolated
81	VII	75	label
82	VII	76	interpolated
83	VII	77	label
84	VII	78	interpolated
85	VII	79	label
86	VII	80	label
87	VII	81	label
88	VII	82	label
89	VII	83	label
90	VII	84	label
91	VII	85	label
92	VII	86	label
93	VII	87	label
94	VII	88	label
95	VII	89	label
96	VII	90	label
97	VII	91	label
98	VII	92	label
99	VII	93	label
100	VII	94	label
101	VIII	1	interpolated
102	VIII	2	label
103	VIII	3	label
104	VIII	4	label
105	VIII	5	label
106	VIII	6	label
107	VIII	7	label
108	VIII	8	label
109	VIII	9	label
110	VIII	10	label
111	VIII	11	label
112	VIII	12	label
113	VIII	13	label
114	VIII	14	label
115	VIII	15	label
116	VIII	16	label
117	VIII	17	label
118	VIII	18	label
119	VIII	19	label
120	VIII	20	label
121	VIII	21	label
122	VIII	22	label
123	VIII	23	label
124	VIII	24	label
125	VIII	25	label
126	VIII	26	label
127	VIII	27	label
128	VIII	28	label
129	VIII	29	label
130	VIII	30	label
131	VIII	31	label
132	VIII	32	label
133	VIII	33	label
134	VIII	34	label
135	VIII	35	label
136	VIII	36	label
137	VIII	37	label
138	VIII	38	label
139	VIII	39	label
140	VIII	40	label
141	VIII	41	label
142	VIII	42	label
143	VIII	43	label
144	VIII	44	label
145	VIII	45	label
146	VIII	46	label
147	VIII	47	label
148	VIII	48	label
149	VIII	49	label
150	VIII	50	label
151	VIII	51	label
152	VIII	52	label
153	VIII	53	label
154	VIII	54	label
155	VIII	55	label
156	VIII	56	label
157	VIII	57	label
158	VIII	58	label
159	VIII	59	interpolated
160	VIII	60	label
161	VIII	61	label
162	VIII	62	label
163	VIII	63	label
164	VIII	64	label
165	VIII	65	label
166	VIII	66	label
167	VIII	67	label
168	VIII	68	label
169	VIII	69	label
170	VIII	70	label
171	VIII	71	label
172	VIII	72	label
173	VIII	73	label
174	VIII	74	label
175	VIII	75	interpolated
176	VIII	76	label
177	VIII	77	label
178	VIII	78	label
179	VIII	79	label
180	VIII	80	label
181	VIII	81	interpolated
182	VIII	82	label
183	IX	1	interpolated
184	IX	2	label
185	IX	3	label
186	IX	4	label
187	IX	5	label
188	IX	6	label
189	IX	7	label
190	IX	8	label
191	IX	9	label
192	IX	10	label
193	IX	11	label
194	IX	12	label
195	IX	13	label
196	IX	14	label
197	IX	15	label
198	IX	16	label
199	IX	17	label
200	IX	18	label
201	IX	19	label
202	IX	20	label
203	IX	21	label
204	IX	22	label
205	IX	23	label
206	IX	24	label
207	IX	25	label
208	IX	26	label
209	IX	27	label
210	IX	28	label
211	IX	29	label
212	IX	30	label
213	IX	31	label
214	IX	32	label
215	IX	33	label
216	IX	34	label
217	IX	35	label
218	IX	36	label
219	IX	37	label
220	IX	38	label
221	IX	39	label
222	IX	40	label
223	IX	41	label
224	IX	42	label
225	IX	43	label
226	IX	44	label
227	IX	45	label
228	IX	46	label
229	IX	47	label
230	IX	48	label
231	IX	49	label
232	IX	50	label
233	IX	51	label
234	IX	52	label
235	IX	53	label
236	IX	54	label
237	IX	55	label
238	IX	56	label
239	IX	57	label
240	IX	58	label
241	IX	59	label
242	IX	60	label
243	IX	61	label
244	IX	62	label
245	IX	63	label
246	IX	64	label
247	IX	65	label
248	IX	66	label
249	IX	67	label
250	IX	68	label
251	IX	69	label
252	IX	70	label
253	IX	71	label
254	IX	72	label
255	IX	73	label
256	IX	74	label
257	IX	75	label
258	IX	76	label
259	IX	77	label
260	IX	78	label
261	IX	79	label
262	IX	80	label
263	IX	81	label
264	IX	82	label
265	IX	83	label
266	IX	84	label
267	IX	85	label
268	IX	86	label
269	IX	87	label
270	IX	88	label
271	IX	89	label
272	IX	90	label
273	IX	91	label
274	IX	92	label
275	IX	93	label
276	IX	94	label
277	IX	95	label
278	IX	96	label
279	IX	97	label
280	IX	98	label
281	IX	99	label
282	IX	100	label
283	IX	101	label
284	IX	102	interpolated
285	IX	103	label
286	IX	104	label
287	IX	105	label
288	IX	106	interpolated
289	IX	107	label
290	IX	108	label
291	IX	109	label
292	IX	110	label
293	IX	111	label
294	IX	112	label
295	IX	113	label
296	IX	114	label
297	IX	115	label
298	IX	116	label
299	IX	117	label
300	IX	118	label
301	IX	119	label
302	IX	120	interpolated
303	IX	121	label
304	IX	122	label
305	IX	123	label
306	IX	124	label
307	IX	125	label
308	IX	126	label
309	IX	127	label
310	IX	128	label
311	IX	129	label
312	IX	130	label
313	IX	131	interpolated
314	IX	132	label
315			none
316			none
317			none
318			none
319			none
320			none
321			none
322			none
323			none
324			none
325			none
326			none
327			none
328			none
329			none
330			none
331			none
332			none
