# Generated by bourbaki pagemap build. Do not edit.
# book=int-vii-viii-fr grammar=head-number pagination=continuous pdf_pages=224
pdf_page	chapter	page	confidence
1		2	interpolated
2		3	interpolated
3		4	interpolated
4		5	interpolated
5		6	interpolated
6	VII	7	interpolated
7	VII	8	head
8	VII	9	head
9	VII	10	interpolated
10	VII	11	interpolated
11	VII	12	interpolated
12	VII	13	interpolated
13	VII	14	head
14	VII	15	interpolated
15	VII	16	interpolated
16	VII	17	interpolated
17	VII	18	interpolated
18	VII	19	interpolated
19	VII	20	head
20	VII	21	interpolated
21	VII	22	interpolated
22	VII	23	interpolated
23	VII	24	head
24	VII	25	interpolated
25	VII	26	head
26	VII	27	interpolated
27	VII	28	head
28	VII	29	interpolated
29	VII	30	head
30	VII	31	interpolated
31	VII	32	head
32	VII	33	interpolated
33	VII	34	head
34	VII	35	interpolated
35	VII	36	head
36	VII	37	interpolated
37	VII	38	head
38	VII	39	interpolated
39	VII	40	head
40	VII	41	interpolated
41	VII	42	head
42	VII	43	interpolated
43	VII	44	head
44	VII	45	interpolated
45	VII	46	head
46	VII	47	interpolated
47	VII	48	head
48	VII	49	interpolated
49	VII	50	head
50	VII	51	interpolated
51	VII	52	head
52	VII	53	interpolated
53	VII	54	head
54	VII	55	interpolated
55	VII	56	head
56	VII	57	interpolated
57	VII	58	head
58	VII	59	interpolated
59	VII	60	head
60	VII	61	interpolated
61	VII	62	head
62	VII	63	interpolated
63	VII	64	head
64	VII	65	interpolated
65	VII	66	head
66	VII	67	interpolated
67	VII	68	head
68	VII	69	interpolated
69	VII	70	head
70	VII	71	head
71	VII	72	head
72	VII	73	head
73	VII	74	head
74	VII	75	head
75	VII	76	head
76	VII	77	interpolated
77	VII	78	head
78	VII	79	head
79	VII	80	head
80	VII	81	head
81	VII	82	head
82	VII	83	head
83	VII	84	head
84	VII	85	interpolated
85	VII	86	head
86	VII	87	interpolated
87	VII	88	head
88	VII	89	head
89	VII	90	head
90	VII	91	head
91	VII	92	head
92	VII	93	head
93	VII	94	head
94	VII	95	head
95	VII	96	interpolated
96	VII	97	head
97	VII	98	interpolated
98	VII	99	head
99	VII	100	interpolated
100	VII	101	head
101	VII	102	head
102	VII	103	head
103	VII	104	head
104	VII	105	head
105	VII	106	head
106	VII	107	head
107	VII	108	head
108	VII	109	interpolated
109	VII	110	head
110	VII	111	head
111	VII	112	head
112	VII	113	head
113	VII	114	head
114	VII	115	interpolated
115	VII	116	head
116	VII	117	interpolated
117	VII	118	head
118	VII	119	head
119	VIII	120	interpolated
120	VIII	121	head
121	VIII	122	head
122	VIII	123	head
123	VIII	124	head
124	VIII	125	head
125	VIII	126	interpolated
126	VIII	127	head
127	VIII	128	head
128	VIII	129	interpolated
129	VIII	130	head
130	VIII	131	interpolated
131	VIII	132	head
132	VIII	133	interpolated
133	VIII	134	head
134	VIII	135	interpolated
135	VIII	136	head
136	VIII	137	interpolated
137	VIII	138	head
138	VIII	139	interpolated
139	VIII	140	head
140	VIII	141	interpolated
141	VIII	142	head
142	VIII	143	interpolated
143	VIII	144	head
144	VIII	145	interpolated
145	VIII	146	head
146	VIII	147	interpolated
147	VIII	148	head
148	VIII	149	interpolated
149	VIII	150	head
150	VIII	151	interpolated
151	VIII	152	head
152	VIII	153	interpolated
153	VIII	154	head
154	VIII	155	interpolated
155	VIII	156	head
156	VIII	157	interpolated
157	VIII	158	head
158	VIII	159	interpolated
159	VIII	160	head
160	VIII	161	interpolated
161	VIII	162	head
162	VIII	163	interpolated
163	VIII	164	head
164	VIII	165	interpolated
165	VIII	166	head
166	VIII	167	interpolated
167	VIII	168	head
168	VIII	169	interpolated
169	VIII	170	head
170	VIII	171	interpolated
171	VIII	172	interpolated
172	VIII	173	interpolated
173	VIII	174	head
174	VIII	175	interpolated
175	VIII	176	head
176	VIII	177	head
177	VIII	178	head
178	VIII	179	interpolated
179	VIII	180	head
180	VIII	181	interpolated
181	VIII	182	head
182	VIII	183	interpolated
183	VIII	184	head
184	VIII	185	interpolated
185	VIII	186	head
186	VIII	187	interpolated
187	VIII	188	head
188	VIII	189	interpolated
189	VIII	190	interpolated
190	VIII	191	head
191	VIII	192	head
192	VIII	193	head
193	VIII	194	head
194	VIII	195	head
195	VIII	196	interpolated
196	VIII	197	head
197	VIII	198	head
198	VIII	199	head
199	VIII	200	interpolated
200	VIII	201	head
201	VIII	202	head
202	VIII	203	head
203	VIII	204	head
204	VIII	205	head
205	VIII	206	interpolated
206	VIII	207	head
207	VIII	208	interpolated
208	VIII	209	head
209	VIII	210	interpolated
210	VIII	211	head
211	VIII	212	head
212	VIII	213	head
213	VIII	214	head
214	VIII	215	head
215	VIII	216	interpolated
216	VIII	217	interpolated
217	VIII	218	interpolated
218	VIII	219	head
219	VIII	220	interpolated
220	VIII	221	interpolated
221	VIII	222	interpolated
222	VIII	223	interpolated
223	VIII	224	interpolated
224	VIII	225	interpolated
