# Generated by bourbaki pagemap build. Do not edit.
# book=lie-ii-iii-fr grammar=head-number pagination=continuous pdf_pages=318
pdf_page	chapter	page	confidence
1		3	interpolated
2		4	interpolated
3		5	interpolated
4		6	interpolated
5	II	7	interpolated
6	II	8	head
7	II	9	interpolated
8	II	10	head
9	II	11	interpolated
10	II	12	head
11	II	13	interpolated
12	II	14	head
13	II	15	interpolated
14	II	16	interpolated
15	II	17	interpolated
16	II	18	head
17	II	19	interpolated
18	II	20	head
19	II	21	interpolated
20	II	22	head
21	II	23	interpolated
22	II	24	head
23	II	25	interpolated
24	II	26	head
25	II	27	interpolated
26	II	28	head
27	II	29	interpolated
28	II	30	head
29	II	31	interpolated
30	II	32	head
31	II	33	head
32	II	34	interpolated
33	II	35	interpolated
34	II	36	interpolated
35	II	37	head
36	II	38	head
37	II	39	head
38	II	40	head
39	II	41	head
40	II	42	head
41	II	43	interpolated
42	II	44	head
43	II	45	interpolated
44	II	46	head
45	II	47	interpolated
46	II	48	interpolated
47	II	49	interpolated
48	II	50	head
49	II	51	interpolated
50	II	52	head
51	II	53	interpolated
52	II	54	head
53	II	55	interpolated
54	II	56	head
55	II	57	interpolated
56	II	58	head
57	II	59	interpolated
58	II	60	head
59	II	61	interpolated
60	II	62	head
61	II	63	interpolated
62	II	64	head
63	II	65	interpolated
64	II	66	head
65	II	67	interpolated
66	II	68	head
67	II	69	interpolated
68	II	70	head
69	II	71	interpolated
70	II	72	head
71	II	73	interpolated
72	II	74	head
73	II	75	head
74	II	76	head
75	II	77	head
76	II	78	head
77	II	79	interpolated
78	II	80	head
79	II	81	head
80	II	82	head
81	II	83	interpolated
82	II	84	head
83	II	85	interpolated
84	II	86	head
85	II	87	head
86	II	88	head
87	II	89	head
88	II	90	head
89	II	91	interpolated
90	II	92	head
91	II	93	head
92	II	94	head
93	III	95	interpolated
94	III	96	head
95	III	97	head
96	III	98	head
97	III	99	head
98	III	100	head
99	III	101	head
100	III	102	head
101	III	103	head
102	III	104	head
103	III	105	head
104	III	106	head
105	III	107	head
106	III	108	head
107	III	109	head
108	III	110	head
109	III	111	head
110	III	112	head
111	III	113	head
112	III	114	head
113	III	115	head
114	III	116	head
115	III	117	head
116	III	118	head
117	III	119	head
118	III	120	head
119	III	121	interpolated
120	III	122	head
121	III	123	head
122	III	124	head
123	III	125	interpolated
124	III	126	head
125	III	127	interpolated
126	III	128	head
127	III	129	interpolated
128	III	130	head
129	III	131	interpolated
130	III	132	head
131	III	133	interpolated
132	III	134	head
133	III	135	interpolated
134	III	136	head
135	III	137	interpolated
136	III	138	head
137	III	139	interpolated
138	III	140	head
139	III	141	interpolated
140	III	142	head
141	III	143	interpolated
142	III	144	head
143	III	145	interpolated
144	III	146	head
145	III	147	interpolated
146	III	148	head
147	III	149	interpolated
148	III	150	head
149	III	151	interpolated
150	III	152	head
151	III	153	interpolated
152	III	154	head
153	III	155	interpolated
154	III	156	head
155	III	157	interpolated
156	III	158	head
157	III	159	interpolated
158	III	160	head
