# Generated by bourbaki pagemap build. Do not edit.
# book=lie-ix-fr grammar=head-label pagination=per-chapter prefix=LIE pdf_pages=141
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4	IX	1	interpolated
5	IX	2	label
6	IX	3	label
7	IX	4	label
8	IX	5	label
9	IX	6	label
10	IX	7	label
11	IX	8	label
12	IX	9	label
13	IX	10	label
14	IX	11	label
15	IX	12	label
16	IX	13	label
17	IX	14	label
18	IX	15	label
19	IX	16	label
20	IX	17	label
21	IX	18	label
22	IX	19	label
23	IX	20	label
24	IX	21	label
25	IX	22	label
26	IX	23	label
27	IX	24	label
28	IX	25	label
29	IX	26	label
30	IX	27	label
31	IX	28	label
32	IX	29	label
33	IX	30	label
34	IX	31	label
35	IX	32	label
36	IX	33	label
37	IX	34	label
38	IX	35	label
39	IX	36	label
40	IX	37	label
41	IX	38	label
42	IX	39	label
43	IX	40	label
44	IX	41	label
45	IX	42	label
46	IX	43	label
47	IX	44	label
48	IX	45	label
49	IX	46	label
50	IX	47	label
51	IX	48	label
52	IX	49	label
53	IX	50	label
54	IX	51	label
55	IX	52	label
56	IX	53	label
57	IX	54	label
58	IX	55	label
59	IX	56	label
60	IX	57	label
61	IX	58	label
62	IX	59	label
63	IX	60	label
64	IX	61	label
65	IX	62	label
66	IX	63	label
67	IX	64	label
68	IX	65	label
69	IX	66	label
70	IX	67	label
71	IX	68	label
72	IX	69	label
73	IX	70	label
74	IX	71	label
75	IX	72	label
76	IX	73	label
77	IX	74	label
78	IX	75	label
79	IX	76	label
80	IX	77	label
81	IX	78	label
82	IX	79	label
83	IX	80	label
84	IX	81	label
85	IX	82	label
86	IX	83	label
87	IX	84	label
88	IX	85	label
89	IX	86	label
90	IX	87	label
91	IX	88	label
92	IX	89	label
93	IX	90	label
94	IX	91	label
95	IX	92	label
96	IX	93	label
97	IX	94	label
98	IX	95	label
99	IX	96	label
100	IX	97	label
101	IX	98	label
102	IX	99	label
103	IX	100	label
104	IX	101	label
105	IX	102	label
106	IX	103	head
107	IX	104	label
108	IX	105	label
109	IX	106	label
110	IX	107	label
111	IX	108	label
112	IX	109	label
113	IX	110	label
114	IX	111	label
115	IX	112	label
116	IX	113	label
117	IX	114	label
118	IX	115	label
119	IX	116	label
120	IX	117	label
121	IX	118	label
122	IX	119	label
123	IX	120	label
124	IX	121	label
125	IX	122	label
126	IX	123	label
127	IX	124	label
128	IX	125	label
129	IX	126	label
130	IX	127	label
131	IX	128	label
132	IX	129	label
133	IX	130	label
134	IX	131	label
135	IX	132	label
136			none
137			none
138			none
139			none
140			none
141			none
