# Generated by bourbaki pagemap build. Do not edit.
# book=lie-vii-ix grammar=head-number pagination=continuous pdf_pages=439
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5			none
6			none
7			none
8			none
9			none
10			none
11	VII	1	interpolated
12	VII	2	head
13	VII	3	head
14	VII	4	head
15	VII	5	head
16	VII	6	head
17	VII	7	head
18	VII	8	head
19	VII	9	head
20	VII	10	head
21	VII	11	head
22	VII	12	head
23	VII	13	head
24	VII	14	head
25	VII	15	head
26	VII	16	head
27	VII	17	head
28	VII	18	head
29	VII	19	head
30	VII	20	head
31	VII	21	head
32	VII	22	head
33	VII	23	head
34	VII	24	head
35	VII	25	head
36	VII	26	head
37	VII	27	head
38	VII	28	head
39	VII	29	head
40	VII	30	head
41	VII	31	head
42	VII	32	head
43	VII	33	head
44	VII	34	head
45	VII	35	head
46	VII	36	head
47	VII	37	head
48	VII	38	head
49	VII	39	head
50	VII	40	head
51	VII	41	head
52	VII	42	head
53	VII	43	head
54	VII	44	head
55	VII	45	head
56	VII	46	head
57	VII	47	head
58	VII	48	head
59	VII	49	head
60	VII	51	interpolated
61	VII	52	head
62	VII	53	head
63	VII	54	head
64	VII	55	head
65	VII	56	head
66	VII	57	head
67	VII	58	head
68	VII	59	head
69	VII	60	head
70	VII	61	head
71	VII	62	head
72	VII	63	head
73	VII	64	head
74	VII	65	head
75	VII	66	head
76	VII	67	head
77	VIII	69	interpolated
78	VIII	70	head
79	VIII	71	head
80	VIII	72	head
81	VIII	73	head
82	VIII	74	head
83	VIII	75	head
84	VIII	76	head
85	VIII	77	head
86	VIII	78	head
87	VIII	79	head
88	VIII	80	head
89	VIII	81	head
90	VIII	82	head
91	VIII	83	head
92	VIII	84	head
93	VIII	85	head
94	VIII	86	head
95	VIII	87	head
96	VIII	88	head
97	VIII	89	head
98	VIII	90	head
99	VIII	91	head
100	VIII	92	head
101	VIII	93	head
102	VIII	94	head
103	VIII	95	head
104	VIII	96	head
105	VIII	97	head
106	VIII	98	head
107	VIII	99	head
108	VIII	100	head
109	VIII	101	head
110	VIII	102	head
111	VIII	103	head
112	VIII	104	head
113	VIII	105	head
114	VIII	106	head
115	VIII	107	head
116	VIII	108	head
117	VIII	109	head
118	VIII	110	head
119	VIII	111	head
120	VIII	112	head
121	VIII	113	head
122	VIII	114	head
123	VIII	115	head
124	VIII	116	head
125	VIII	117	head
126	VIII	118	head
127	VIII	119	head
128	VIII	120	head
129	VIII	121	head
130	VIII	122	head
131	VIII	123	head
132	VIII	124	head
133	VIII	125	head
134	VIII	126	head
135	VIII	127	head
136	VIII	128	head
137	VIII	129	head
138	VIII	130	head
139	VIII	131	head
140	VIII	132	head
141	VIII	133	head
142	VIII	134	head
143	VIII	135	head
144	VIII	136	head
145	VIII	137	head
146	VIII	138	head
147	VIII	139	head
148	VIII	140	head
149	VIII	141	head
150	VIII	142	head
151	VIII	143	head
152	VIII	144	head
153	VIII	145	head
154	VIII	146	head
155	VIII	147	head
156	VIII	148	head
157	VIII	149	head
158	VIII	150	head
159	VIII	151	head
160	VIII	152	head
161	VIII	153	head
162	VIII	154	head
163	VIII	155	head
164	VIII	156	head
165	VIII	157	head
166	VIII	158	head
167	VIII	159	head
168	VIII	160	head
169	VIII	161	head
170	VIII	162	head
171	VIII	163	head
172	VIII	164	head
173	VIII	165	head
174	VIII	166	head
175	VIII	167	head
176	VIII	168	head
177	VIII	169	head
178	VIII	170	head
179	VIII	171	head
180	VIII	172	head
181	VIII	173	head
182	VIII	174	head
183	VIII	175	head
184	VIII	176	head
185	VIII	177	head
186	VIII	178	head
187	VIII	179	head
188	VIII	180	head
189	VIII	181	head
190	VIII	182	head
191	VIII	183	head
192	VIII	184	head
193	VIII	185	head
194	VIII	186	head
195	VIII	187	head
196	VIII	188	head
197	VIII	189	head
198	VIII	190	head
199	VIII	191	head
200	VIII	192	head
201	VIII	193	head
202	VIII	194	head
203	VIII	195	head
204	VIII	196	head
205	VIII	197	head
206	VIII	198	head
207	VIII	199	head
208	VIII	200	head
209	VIII	201	head
210	VIII	202	head
211	VIII	203	head
212	VIII	204	head
213	VIII	205	head
214	VIII	206	head
215	VIII	207	head
216	VIII	208	head
217	VIII	209	head
218	VIII	210	head
219	VIII	211	head
220	VIII	212	head
221	VIII	213	head
222	VIII	214	head
223	VIII	215	head
224	VIII	216	head
225	VIII	217	head
226	VIII	218	head
227	VIII	219	interpolated
228	VIII	220	head
229	VIII	221	head
230	VIII	222	head
231	VIII	223	head
232	VIII	224	head
233	VIII	225	head
234	VIII	226	head
235	VIII	227	head
236	VIII	228	head
237	VIII	229	head
238	VIII	230	head
239	VIII	231	head
240	VIII	232	head
241	VIII	233	head
242	VIII	234	head
243	VIII	235	head
244	VIII	236	head
245	VIII	237	head
246	VIII	238	head
247	VIII	239	head
248	VIII	240	head
249	VIII	241	head
250	VIII	242	head
251	VIII	243	head
252	VIII	244	head
253	VIII	245	head
254	VIII	246	head
255	VIII	247	head
256	VIII	248	head
257	VIII	249	head
258	VIII	250	head
259	VIII	251	head
260	VIII	252	head
261	VIII	253	head
262	VIII	254	head
263	VIII	255	head
264	VIII	256	head
265	VIII	257	head
266	VIII	258	head
267	VIII	259	head
268	VIII	260	head
269	VIII	261	head
270	VIII	262	head
271	VIII	263	head
272	VIII	264	head
273	VIII	265	head
274	VIII	266	head
275	VIII	267	head
276	VIII	268	head
277	VIII	269	head
278	VIII	270	head
279	VIII	271	head
280	VIII	273	interpolated
281	VIII	274	head
282	VIII	275	head
283	VIII	276	head
284	VIII	277	head
285	VIII	278	head
286	VIII	279	head
287	VIII	280	head
288	IX	281	interpolated
289	IX	282	head
290	IX	283	head
291	IX	284	head
292	IX	285	head
293	IX	286	head
294	IX	287	head
295	IX	288	head
296	IX	289	head
297	IX	290	head
298	IX	291	head
299	IX	292	head
300	IX	293	head
301	IX	294	head
302	IX	295	head
303	IX	296	head
304	IX	297	head
305	IX	298	head
306	IX	299	head
307	IX	300	head
308	IX	301	head
309	IX	302	head
310	IX	303	head
311	IX	304	head
312	IX	305	head
313	IX	306	head
314	IX	307	head
315	IX	308	head
316	IX	309	head
317	IX	310	head
318	IX	311	head
319	IX	312	head
320	IX	313	head
321	IX	314	head
322	IX	315	head
323	IX	316	head
324	IX	317	head
325	IX	318	head
326	IX	319	head
327	IX	320	head
328	IX	321	head
329	IX	322	head
330	IX	323	head
331	IX	324	head
332	IX	325	head
333	IX	326	head
334	IX	327	head
335	IX	328	head
336	IX	329	head
337	IX	330	head
338	IX	331	head
339	IX	332	head
340	IX	333	head
341	IX	334	head
342	IX	335	head
343	IX	336	head
344	IX	337	head
345	IX	338	head
346	IX	339	head
347	IX	340	head
348	IX	341	head
349	IX	342	head
350	IX	343	head
351	IX	344	head
352	IX	345	head
353	IX	346	head
354	IX	347	head
355	IX	348	head
356	IX	349	head
357	IX	350	head
358	IX	351	head
359	IX	352	head
360	IX	353	head
361	IX	354	head
362	IX	355	head
363	IX	356	head
364	IX	357	head
365	IX	358	head
366	IX	359	head
367	IX	360	head
368	IX	361	head
369	IX	362	head
370	IX	363	head
371	IX	364	head
372	IX	365	head
373	IX	366	head
374	IX	367	head
375	IX	368	head
376	IX	369	head
377	IX	370	head
378	IX	371	head
379	IX	372	head
380	IX	373	head
381	IX	374	head
382	IX	375	head
383	IX	376	head
384	IX	377	head
385	IX	378	head
386	IX	379	head
387	IX	380	head
388	IX	381	head
389	IX	382	head
390	IX	383	head
391	IX	384	head
392	IX	385	head
393	IX	386	head
394	IX	387	head
395	IX	388	head
396	IX	389	interpolated
397	IX	390	head
398	IX	391	head
399	IX	392	head
400	IX	393	head
401	IX	394	head
402	IX	395	head
403	IX	396	head
404	IX	397	head
405	IX	398	head
406	IX	399	head
407	IX	400	head
408	IX	401	head
409	IX	402	head
410	IX	403	head
411	IX	404	head
412	IX	405	head
413	IX	406	head
414	IX	407	head
415	IX	408	head
416	IX	409	head
417	IX	410	head
418	IX	411	head
419	IX	412	head
420	IX	413	head
421	IX	414	head
422	IX	415	head
423	IX	416	head
424	IX	417	head
425	IX	418	head
426	IX	419	head
427	IX	420	head
428	IX	421	head
429	IX	422	head
430	IX	423	head
431	IX	424	head
432	IX	425	head
