# Generated by bourbaki pagemap build. Do not edit.
# book=lie-vii-viii-fr grammar=head-number pagination=continuous pdf_pages=61
pdf_page	chapter	page	confidence
1	VII	7	interpolated
2	VII	8	head
3	VII	9	interpolated
4	VII	10	head
5	VII	11	interpolated
6	VII	12	head
7	VII	13	interpolated
8	VII	14	head
9	VII	15	interpolated
10	VII	16	head
11	VII	17	interpolated
12	VII	18	head
13	VII	19	interpolated
14	VII	20	head
15	VII	21	interpolated
16	VII	22	head
17	VII	23	interpolated
18	VII	24	head
19	VII	25	interpolated
20	VII	26	head
21	VII	27	interpolated
22	VII	28	head
23	VII	29	interpolated
24	VII	30	head
25	VII	31	interpolated
26	VII	32	head
27	VII	33	interpolated
28	VII	34	head
29	VII	35	interpolated
30	VII	36	head
31	VII	37	interpolated
32	VII	38	head
33	VII	39	interpolated
34	VII	40	head
35	VII	41	interpolated
36	VII	42	head
37	VII	43	interpolated
38	VII	44	interpolated
39	VII	45	interpolated
40	VII	46	head
41	VII	47	interpolated
42	VII	48	head
43	VII	49	interpolated
44	VII	50	head
45	VII	51	interpolated
46	VII	52	head
47	VII	53	interpolated
48	VII	54	head
49	VII	55	interpolated
50	VII	56	head
51	VII	57	head
52	VII	58	head
53	VII	59	interpolated
54	VII	60	interpolated
55	VII	61	head
56	VII	62	head
57	VII	63	head
58	VII	64	head
59	VII	65	head
60	VII	66	head
61	VII	67	interpolated
