# Generated by bourbaki pagemap build. Do not edit.
# book=top-i-iv-fr grammar=head-label pagination=per-chapter prefix=TG pdf_pages=367
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5			none
6			none
7			none
8			none
9			none
10			none
11			none
12			none
13	I	1	interpolated
14	I	2	head
15	I	3	interpolated
16	I	4	head
17	I	5	interpolated
18	I	6	head
19	I	7	interpolated
20	I	8	head
21	I	9	head
22	I	10	interpolated
23	I	11	head
24	I	12	head
25	I	13	interpolated
26	I	14	head
27	I	15	head
28	I	16	head
29	I	17	head
30	I	18	head
31	I	19	head
32	I	20	head
33	I	21	head
34	I	22	head
35	I	23	head
36	I	24	interpolated
37	I	25	interpolated
38	I	26	head
39	I	27	interpolated
40	I	28	head
41	I	29	interpolated
42	I	30	head
43	I	31	interpolated
44	I	32	head
45	I	33	interpolated
46	I	34	head
47	I	35	interpolated
48	I	36	head
49	I	37	head
50	I	38	interpolated
51	I	39	head
52	I	40	head
53	I	41	head
54	I	42	head
55	I	43	head
56	I	44	head
57	I	45	head
58	I	46	interpolated
59	I	47	head
60	I	48	head
61	I	49	head
62	I	50	head
63	I	51	head
64	I	52	interpolated
65	I	53	interpolated
66	I	54	head
67	I	55	interpolated
68	I	56	head
69	I	57	interpolated
70	I	58	head
71	I	59	interpolated
72	I	60	interpolated
73	I	61	interpolated
74	I	62	head
75	I	63	interpolated
76	I	64	head
77	I	65	interpolated
78	I	66	head
79	I	67	head
80	I	68	head
81	I	69	interpolated
82	I	70	head
83	I	71	interpolated
84	I	72	interpolated
85	I	73	head
86	I	74	head
87	I	75	head
88	I	76	head
89	I	77	interpolated
90	I	78	head
91	I	79	head
92	I	80	head
93	I	81	head
94	I	82	head
95	I	83	head
96	I	84	head
97	I	85	head
98	I	86	head
99	I	87	head
100	I	88	head
101	I	89	interpolated
102	I	90	head
103	I	91	interpolated
104	I	92	head
105	I	93	interpolated
106	I	94	head
107	I	95	head
108	I	96	head
109	I	97	interpolated
110	I	98	head
111	I	99	interpolated
112	I	100	head
113	I	101	interpolated
114	I	102	head
115	I	103	interpolated
116	I	104	interpolated
117	I	105	interpolated
118	I	106	head
119	I	107	head
120	I	108	head
121	I	109	interpolated
122	I	110	head
123	I	111	head
124	I	112	head
125	I	113	interpolated
126	I	114	head
127	I	115	head
128	I	116	interpolated
129	I	117	interpolated
130	I	118	head
131	I	119	head
132	I	120	head
133	I	121	interpolated
134	I	122	interpolated
135	I	123	head
136	I	124	head
137	I	125	head
138	I	126	head
139	I	127	interpolated
140	II	1	interpolated
141	II	2	head
142	II	3	head
143	II	4	head
144	II	5	head
145	II	6	head
146	II	7	interpolated
147	II	8	head
148	II	9	interpolated
149	II	10	head
150	II	11	interpolated
151	II	12	head
152	II	13	head
153	II	14	head
154	II	15	head
155	II	16	head
156	II	17	head
157	II	18	head
158	II	19	head
159	II	20	interpolated
160	II	21	head
161	II	22	head
162	II	23	head
163	II	24	interpolated
164	II	25	head
165	II	26	head
166	II	27	interpolated
167	II	28	head
168	II	29	interpolated
169	II	30	head
170	II	31	head
171	II	32	head
172	II	33	head
173	II	34	interpolated
174	II	35	head
175	II	36	head
176	II	37	interpolated
177	II	38	head
178	II	39	interpolated
179	II	40	head
180	II	41	head
181	II	42	interpolated
182	II	43	interpolated
183	II	44	interpolated
184	III	1	interpolated
185	III	2	interpolated
186	III	3	interpolated
187	III	4	interpolated
188	III	5	head
189	III	6	interpolated
190	III	7	head
191	III	8	interpolated
192	III	9	interpolated
193	III	10	interpolated
194	III	11	interpolated
195	III	12	interpolated
196	III	13	interpolated
197	III	14	interpolated
198	III	15	head
199	III	16	interpolated
200	III	17	head
201	III	18	head
202	III	19	interpolated
203	III	20	head
204	III	21	interpolated
205	III	22	interpolated
206	III	23	interpolated
207	III	24	interpolated
208	III	25	interpolated
209	III	26	interpolated
210	III	27	interpolated
211	III	28	head
212	III	29	interpolated
213	III	30	head
214	III	31	interpolated
215	III	32	interpolated
216	III	33	interpolated
217	III	34	head
218	III	35	interpolated
219	III	36	interpolated
220	III	37	interpolated
221	III	38	interpolated
222	III	39	head
223	III	40	head
224	III	41	head
225	III	42	head
226	III	43	interpolated
227	III	44	head
228	III	45	interpolated
229	III	46	interpolated
230	III	47	interpolated
231	III	48	interpolated
232	III	49	interpolated
233	III	50	head
234	III	51	interpolated
235	III	52	head
236	III	53	interpolated
237	III	54	head
238	III	55	interpolated
239	III	56	interpolated
240	III	57	interpolated
241	III	58	interpolated
242	III	59	interpolated
243	III	60	interpolated
244	III	61	interpolated
245	III	62	interpolated
246	III	63	interpolated
247	III	64	head
248	III	65	interpolated
249	III	66	interpolated
250	III	67	head
251	III	68	head
252	III	69	interpolated
253	III	70	interpolated
254	III	71	interpolated
255	III	72	head
256	III	73	head
257	III	74	head
258	III	75	interpolated
259	III	76	head
260	III	77	head
261	III	78	interpolated
262	III	79	interpolated
263	III	80	interpolated
264	III	81	head
265	III	82	head
266	III	83	interpolated
267	III	84	interpolated
268	III	85	interpolated
269	III	86	head
270	III	87	head
271	III	88	interpolated
272	IV	1	interpolated
273	IV	2	interpolated
274	IV	3	interpolated
275	IV	4	interpolated
276	IV	5	interpolated
277	IV	6	interpolated
278	IV	7	interpolated
279	IV	8	interpolated
280	IV	9	interpolated
281	IV	10	interpolated
282	IV	11	head
283	IV	12	interpolated
284	IV	13	head
285	IV	14	interpolated
286	IV	15	interpolated
287	IV	16	interpolated
288	IV	17	interpolated
289	IV	18	head
290	IV	19	interpolated
291	IV	20	interpolated
292	IV	21	interpolated
293	IV	22	interpolated
294	IV	23	interpolated
295	IV	24	interpolated
296	IV	25	interpolated
297	IV	26	interpolated
298	IV	27	head
299	IV	28	interpolated
300	IV	29	head
301	IV	30	interpolated
302	IV	31	head
303	IV	32	interpolated
304	IV	33	interpolated
305	IV	34	interpolated
306	IV	35	interpolated
307	IV	36	interpolated
308	IV	37	interpolated
309	IV	38	interpolated
310	IV	39	interpolated
311	IV	40	interpolated
312	IV	41	interpolated
313	IV	42	interpolated
314	IV	43	interpolated
315	IV	44	interpolated
316	IV	45	interpolated
317	IV	46	interpolated
318	IV	47	interpolated
319	IV	48	interpolated
320	IV	49	interpolated
321	IV	50	interpolated
322	IV	51	interpolated
323	IV	52	interpolated
324	IV	53	head
325	IV	54	interpolated
326	IV	55	head
327	IV	56	interpolated
328	IV	57	head
329	IV	58	interpolated
330	IV	59	interpolated
331	IV	60	interpolated
332	IV	61	head
333	IV	62	interpolated
334	IV	63	interpolated
335	IV	64	head
336	IV	65	interpolated
337	IV	66	interpolated
338	IV	67	head
339	IV	68	interpolated
340	IV	69	head
341	IV	70	interpolated
342	IV	71	head
343	IV	72	interpolated
344	IV	73	head
345	IV	74	interpolated
346	IV	75	interpolated
347	IV	76	interpolated
348	IV	77	interpolated
349	IV	78	interpolated
350	IV	79	interpolated
351	IV	80	interpolated
352	IV	81	head
353			none
354			none
355			none
356			none
357			none
358			none
359			none
360			none
361			none
362			none
363			none
364			none
365			none
366			none
367			none
