# Generated by bourbaki pagemap build. Do not edit.
# book=top-i-iv grammar=foot-number pagination=continuous pdf_pages=443
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5			none
6			none
7			none
8		1	interpolated
9		2	foot
10		3	foot
11		4	foot
12		5	foot
13		6	foot
14		7	foot
15		8	foot
16		9	foot
17		10	foot
18		11	foot
19		12	foot
20		13	interpolated
21		14	interpolated
22		15	interpolated
23	I	17	interpolated
24	I	18	foot
25	I	19	foot
26	I	20	foot
27	I	21	foot
28	I	22	foot
29	I	23	foot
30	I	24	interpolated
31	I	25	interpolated
32	I	26	interpolated
33	I	27	interpolated
34	I	28	interpolated
35	I	29	interpolated
36	I	30	interpolated
37	I	31	interpolated
38	I	32	interpolated
39	I	33	foot
40	I	34	foot
41	I	35	foot
42	I	36	interpolated
43	I	37	foot
44	I	38	interpolated
45	I	39	foot
46	I	40	interpolated
47	I	41	interpolated
48	I	42	foot
49	I	43	foot
50	I	44	foot
51	I	45	foot
52	I	46	interpolated
53	I	47	foot
54	I	48	interpolated
55	I	49	foot
56	I	50	foot
57	I	51	foot
58	I	52	interpolated
59	I	53	foot
60	I	54	foot
61	I	55	foot
62	I	56	interpolated
63	I	57	foot
64	I	58	interpolated
65	I	59	foot
66	I	60	foot
67	I	61	foot
68	I	62	interpolated
69	I	63	interpolated
70	I	64	interpolated
71	I	65	interpolated
72	I	66	foot
73	I	67	interpolated
74	I	68	foot
75	I	69	interpolated
76	I	70	interpolated
77	I	71	foot
78	I	72	foot
79	I	73	foot
80	I	74	foot
81	I	75	foot
82	I	76	interpolated
83	I	77	foot
84	I	78	interpolated
85	I	79	foot
86	I	80	foot
87	I	81	foot
88	I	82	interpolated
89	I	83	interpolated
90	I	84	interpolated
91	I	85	interpolated
92	I	86	foot
93	I	87	interpolated
94	I	88	foot
95	I	89	foot
96	I	90	foot
97	I	91	foot
98	I	92	interpolated
99	I	93	foot
100	I	94	foot
101	I	95	foot
102	I	96	foot
103	I	97	foot
104	I	98	foot
105	I	99	foot
106	I	100	foot
107	I	101	foot
108	I	102	foot
109	I	103	interpolated
110	I	104	foot
111	I	105	foot
112	I	106	foot
113	I	107	interpolated
114	I	108	foot
115	I	109	interpolated
116	I	110	foot
117	I	111	foot
118	I	112	foot
119	I	113	foot
120	I	114	interpolated
121	I	115	foot
122	I	116	interpolated
123	I	117	foot
124	I	118	interpolated
125	I	119	foot
126	I	120	foot
127	I	121	foot
128	I	122	foot
129	I	123	interpolated
130	I	124	interpolated
131	I	125	interpolated
132	I	126	foot
133	I	127	foot
134	I	128	foot
135	I	129	interpolated
136	I	130	interpolated
137	I	131	interpolated
138	I	132	interpolated
139	I	133	foot
140	I	134	foot
141	I	135	foot
142	I	136	interpolated
143	I	137	foot
144	I	138	foot
145	I	139	foot
146	I	140	foot
147	I	141	interpolated
148	I	142	interpolated
149	I	143	foot
150	I	144	foot
151	I	145	foot
152	I	146	interpolated
153	I	147	foot
154	I	148	interpolated
155	I	149	foot
156	I	150	interpolated
157	I	151	interpolated
158	I	152	interpolated
159	I	153	foot
160	I	154	foot
161	I	155	foot
162	I	156	interpolated
163	I	157	interpolated
164	I	158	interpolated
165	I	159	foot
166	I	160	foot
167	I	161	interpolated
168	I	162	interpolated
169	I	163	interpolated
170	I	164	interpolated
171	I	165	interpolated
172	I	166	interpolated
173	I	167	interpolated
174	I	168	interpolated
175	II	169	foot
176	II	170	foot
177	II	171	interpolated
178	II	172	foot
179	II	173	foot
180	II	174	foot
181	II	175	foot
182	II	176	interpolated
183	II	177	interpolated
184	II	178	interpolated
185	II	179	foot
186	II	180	foot
187	II	181	interpolated
188	II	182	interpolated
189	II	183	interpolated
190	II	184	interpolated
191	II	185	interpolated
192	II	186	foot
193	II	187	interpolated
194	II	188	foot
195	II	189	interpolated
196	II	190	interpolated
197	II	191	interpolated
198	II	192	foot
199	II	193	foot
200	II	194	foot
201	II	195	foot
202	II	196	foot
203	II	197	foot
204	II	198	interpolated
205	II	199	foot
206	II	200	foot
207	II	201	foot
208	II	202	foot
209	II	203	interpolated
210	II	204	interpolated
211	II	205	interpolated
212	II	206	foot
213	II	207	interpolated
214	II	208	foot
215	II	209	interpolated
216	II	210	foot
217	II	211	foot
218	II	212	foot
219	II	213	interpolated
220	II	214	interpolated
221	II	215	interpolated
222	II	216	foot
223	II	217	interpolated
224	II	218	interpolated
225	III	219	interpolated
226	III	220	foot
227	III	221	foot
228	III	222	interpolated
229	III	223	interpolated
230	III	224	interpolated
231	III	225	interpolated
232	III	226	interpolated
233	III	227	foot
234	III	228	interpolated
235	III	229	foot
236	III	230	interpolated
237	III	231	interpolated
238	III	232	interpolated
239	III	233	foot
240	III	234	foot
241	III	235	foot
242	III	236	interpolated
243	III	237	foot
244	III	238	interpolated
245	III	239	foot
246	III	240	interpolated
247	III	241	interpolated
248	III	242	interpolated
249	III	243	foot
250	III	244	interpolated
251	III	245	foot
252	III	246	interpolated
253	III	247	foot
254	III	248	interpolated
255	III	249	foot
256	III	250	interpolated
257	III	251	interpolated
258	III	252	interpolated
259	III	253	foot
260	III	254	foot
261	III	255	foot
262	III	256	interpolated
263	III	257	foot
264	III	258	interpolated
265	III	259	foot
266	III	260	interpolated
267	III	261	interpolated
268	III	262	interpolated
269	III	263	interpolated
270	III	264	interpolated
271	III	265	interpolated
272	III	266	interpolated
273	III	267	interpolated
274	III	268	foot
275	III	269	interpolated
276	III	270	interpolated
277	III	271	interpolated
278	III	272	interpolated
279	III	273	interpolated
280	III	274	foot
281	III	275	foot
282	III	276	interpolated
283	III	277	interpolated
284	III	278	interpolated
285	III	279	interpolated
286	III	280	foot
287	III	281	interpolated
288	III	282	interpolated
289	III	283	interpolated
290	III	284	interpolated
291	III	285	interpolated
292	III	286	interpolated
293	III	287	interpolated
294	III	288	interpolated
295	III	289	interpolated
296	III	290	interpolated
297	III	291	interpolated
298	III	292	interpolated
299	III	293	foot
300	III	294	interpolated
301	III	295	foot
302	III	296	interpolated
303	III	297	foot
304	III	298	interpolated
305	III	299	foot
306	III	300	foot
307	III	301	foot
308	III	302	interpolated
309	III	303	interpolated
310	III	304	interpolated
311	III	305	interpolated
312	III	306	foot
313	III	307	interpolated
314	III	308	foot
315	III	309	interpolated
316	III	310	interpolated
317	III	311	interpolated
318	III	312	interpolated
319	III	313	interpolated
320	III	314	interpolated
321	III	315	interpolated
322	III	316	interpolated
323	III	317	interpolated
324	III	318	interpolated
325	III	319	interpolated
326	III	320	foot
327	III	321	foot
328	III	322	interpolated
329	III	323	interpolated
330	III	324	interpolated
331	III	325	interpolated
332	III	326	interpolated
333	III	327	interpolated
334	III	328	interpolated
335	IV	329	interpolated
336	IV	330	foot
337	IV	331	interpolated
338	IV	332	interpolated
339	IV	333	foot
340	IV	334	foot
341	IV	335	foot
342	IV	336	interpolated
343	IV	337	foot
344	IV	338	foot
345	IV	339	foot
346	IV	340	foot
347	IV	341	interpolated
348	IV	342	foot
349	IV	343	foot
350	IV	344	foot
351	IV	345	foot
352	IV	346	interpolated
353	IV	347	foot
354	IV	348	interpolated
355	IV	349	foot
356	IV	350	foot
357	IV	351	interpolated
358	IV	352	interpolated
359	IV	353	foot
360	IV	354	foot
361	IV	355	foot
362	IV	356	interpolated
363	IV	357	foot
364	IV	358	interpolated
365	IV	359	foot
366	IV	360	interpolated
367	IV	361	interpolated
368	IV	362	interpolated
369	IV	363	interpolated
370	IV	364	interpolated
371	IV	365	interpolated
372	IV	366	interpolated
373	IV	367	interpolated
374	IV	368	interpolated
375	IV	369	interpolated
376	IV	370	foot
377	IV	371	interpolated
378	IV	372	foot
379	IV	373	foot
380	IV	374	foot
381	IV	375	foot
382	IV	376	interpolated
383	IV	377	foot
384	IV	378	interpolated
385	IV	379	foot
386	IV	380	foot
387	IV	381	interpolated
388	IV	382	interpolated
389	IV	383	interpolated
390	IV	384	interpolated
391	IV	385	interpolated
392	IV	386	interpolated
393	IV	387	interpolated
394	IV	388	foot
395	IV	389	interpolated
396	IV	390	foot
397	IV	391	interpolated
398	IV	392	foot
399	IV	393	foot
400	IV	394	foot
401	IV	395	foot
402	IV	396	interpolated
403	IV	397	foot
404	IV	398	interpolated
405	IV	399	foot
406	IV	400	interpolated
