# Generated by bourbaki pagemap build. Do not edit.
# book=top-v-x-fr grammar=head-label pagination=per-chapter prefix=TG pdf_pages=329
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5			none
6			none
7			none
8	V	1	interpolated
9	V	2	interpolated
10	V	3	interpolated
11	V	4	interpolated
12	V	5	head
13	V	6	interpolated
14	V	7	head
15	V	8	interpolated
16	V	9	interpolated
17	V	10	interpolated
18	V	11	interpolated
19	V	12	interpolated
20	V	13	head
21	V	14	interpolated
22	V	15	interpolated
23	V	16	interpolated
24	V	17	head
25	V	18	interpolated
26	V	19	interpolated
27	V	20	interpolated
28	V	21	interpolated
29	VI	1	interpolated
30	VI	2	interpolated
31	VI	3	interpolated
32	VI	4	interpolated
33	VI	5	interpolated
34	VI	6	interpolated
35	VI	7	interpolated
36	VI	8	interpolated
37	VI	9	interpolated
38	VI	10	interpolated
39	VI	11	interpolated
40	VI	12	interpolated
41	VI	13	interpolated
42	VI	14	interpolated
43	VI	15	interpolated
44	VI	16	interpolated
45	VI	17	interpolated
46	VI	18	interpolated
47	VI	19	interpolated
48	VI	20	interpolated
49	VI	21	interpolated
50	VI	22	interpolated
51	VI	23	interpolated
52	VI	24	interpolated
53	VI	25	head
54	VI	26	interpolated
55	VI	27	head
56	VI	28	interpolated
57	VI	29	head
58	VI	30	interpolated
59	VII	1	interpolated
60	VII	2	interpolated
61	VII	3	head
62	VII	4	head
63	VII	5	head
64	VII	6	interpolated
65	VII	7	head
66	VII	8	interpolated
67	VII	9	head
68	VII	10	interpolated
69	VII	11	interpolated
70	VII	12	interpolated
71	VII	13	interpolated
72	VII	14	interpolated
73	VII	15	interpolated
74	VII	16	interpolated
75	VII	17	head
76	VII	18	head
77	VII	19	interpolated
78	VII	20	head
79	VII	21	interpolated
80	VII	22	interpolated
81	VII	23	interpolated
82	VII	24	interpolated
83	VII	25	interpolated
84	VII	26	interpolated
85	VII	27	head
86	VII	28	interpolated
87	VIII	1	interpolated
88	VIII	2	head
89	VIII	3	head
90	VIII	4	interpolated
91	VIII	5	head
92	VIII	6	head
93	VIII	7	interpolated
94	VIII	8	head
95	VIII	9	interpolated
96	VIII	10	interpolated
97	VIII	11	head
98	VIII	12	head
99	VIII	13	interpolated
100	VIII	14	head
101	VIII	15	interpolated
102	VIII	16	head
103	VIII	17	head
104	VIII	18	interpolated
105	VIII	19	interpolated
106	VIII	20	head
107	VIII	21	interpolated
108	VIII	22	head
109	VIII	23	interpolated
110	VIII	24	interpolated
111	VIII	25	interpolated
112	VIII	26	head
113	VIII	27	interpolated
114	VIII	28	interpolated
115	VIII	29	interpolated
116	VIII	30	interpolated
117	VIII	31	head
118	VIII	32	interpolated
119	VIII	33	head
120	VIII	34	interpolated
121	IX	1	interpolated
122	IX	2	interpolated
123	IX	3	interpolated
124	IX	4	interpolated
125	IX	5	interpolated
126	IX	6	interpolated
127	IX	7	interpolated
128	IX	8	interpolated
129	IX	9	interpolated
130	IX	10	head
131	IX	11	head
132	IX	12	interpolated
133	IX	13	head
134	IX	14	interpolated
135	IX	15	head
136	IX	16	interpolated
137	IX	17	interpolated
138	IX	18	head
139	IX	19	head
140	IX	20	interpolated
141	IX	21	interpolated
142	IX	22	interpolated
143	IX	23	interpolated
144	IX	24	interpolated
145	IX	25	interpolated
146	IX	26	interpolated
147	IX	27	interpolated
148	IX	28	interpolated
149	IX	29	interpolated
150	IX	30	interpolated
151	IX	31	interpolated
152	IX	32	interpolated
153	IX	33	interpolated
154	IX	34	interpolated
155	IX	35	interpolated
156	IX	36	interpolated
157	IX	37	interpolated
158	IX	38	interpolated
159	IX	39	interpolated
160	IX	40	interpolated
161	IX	41	head
162	IX	42	interpolated
163	IX	43	head
164	IX	44	interpolated
165	IX	45	head
166	IX	46	interpolated
167	IX	47	interpolated
168	IX	48	interpolated
169	IX	49	interpolated
170	IX	50	interpolated
171	IX	51	interpolated
172	IX	52	interpolated
173	IX	53	interpolated
174	IX	54	interpolated
175	IX	55	interpolated
176	IX	56	interpolated
177	IX	57	interpolated
178	IX	58	interpolated
179	IX	59	head
180	IX	60	interpolated
181	IX	61	head
182	IX	62	interpolated
183	IX	63	head
184	IX	64	interpolated
185	IX	65	head
186	IX	66	interpolated
187	IX	67	head
188	IX	68	interpolated
189	IX	69	head
190	IX	70	interpolated
191	IX	71	head
192	IX	72	interpolated
193	IX	73	interpolated
194	IX	74	interpolated
195	IX	75	interpolated
196	IX	76	head
197	IX	77	head
198	IX	78	interpolated
199	IX	79	head
200	IX	80	head
201	IX	81	head
202	IX	82	interpolated
203	IX	83	head
204	IX	84	interpolated
205	IX	85	interpolated
206	IX	86	interpolated
207	IX	87	head
208	IX	88	interpolated
209	IX	89	head
210	IX	90	interpolated
211	IX	91	interpolated
212	IX	92	interpolated
213	IX	93	head
214	IX	94	interpolated
215	IX	95	interpolated
216	IX	96	interpolated
217	IX	97	interpolated
218	IX	98	interpolated
219	IX	99	interpolated
220	IX	100	interpolated
221	IX	101	interpolated
222	IX	102	interpolated
223	IX	103	head
224	IX	104	head
225	IX	105	head
226	IX	106	head
227	IX	107	interpolated
228	IX	108	interpolated
229	IX	109	head
230	IX	110	interpolated
231	IX	111	interpolated
232	IX	112	head
233	IX	113	head
234	IX	114	interpolated
235	IX	115	interpolated
236	IX	116	head
237	IX	117	head
238	IX	118	head
239	IX	119	interpolated
240	IX	120	head
241	IX	121	head
242	IX	122	interpolated
243	IX	123	head
244	IX	124	head
245	IX	125	interpolated
246	IX	126	head
247	IX	127	interpolated
248	IX	128	interpolated
249	IX	129	interpolated
250	X	1	interpolated
251	X	2	head
252	X	3	interpolated
253	X	4	head
254	X	5	head
255	X	6	head
256	X	7	interpolated
257	X	8	head
258	X	9	head
259	X	10	head
260	X	11	interpolated
261	X	12	interpolated
262	X	13	interpolated
263	X	14	interpolated
264	X	15	interpolated
265	X	16	head
266	X	17	interpolated
267	X	18	head
268	X	19	interpolated
269	X	20	interpolated
270	X	21	interpolated
271	X	22	head
272	X	23	interpolated
273	X	24	head
274	X	25	interpolated
275	X	26	head
276	X	27	interpolated
277	X	28	head
278	X	29	interpolated
279	X	30	head
280	X	31	head
281	X	32	head
282	X	33	interpolated
283	X	34	interpolated
284	X	35	interpolated
285	X	36	head
286	X	37	interpolated
287	X	38	head
288	X	39	interpolated
289	X	40	head
290	X	41	interpolated
291	X	42	head
292	X	43	head
293	X	44	head
294	X	45	interpolated
295	X	46	head
296	X	47	head
297	X	48	head
298	X	49	interpolated
299	X	50	head
300	X	51	head
301	X	52	interpolated
302	X	53	head
303	X	54	head
304	X	55	head
305	X	56	head
306	X	57	head
307	X	58	interpolated
308	X	59	head
309	X	60	interpolated
310	X	61	head
311	X	62	interpolated
312	X	63	head
313	X	64	interpolated
314	X	65	interpolated
315	X	66	head
316	X	67	interpolated
317	X	68	interpolated
318	X	69	interpolated
319	X	70	interpolated
320	X	71	interpolated
321	X	72	interpolated
322	X	73	interpolated
323	X	74	interpolated
324	X	75	interpolated
325	X	76	interpolated
326	X	77	head
327			none
328			none
329			none
