# Generated by bourbaki pagemap build. Do not edit.
# book=top-v-x grammar=foot-number pagination=continuous pdf_pages=372
pdf_page	chapter	page	confidence
1			none
2			none
3			none
4			none
5			none
6			none
7		1	interpolated
8		2	folio
9		3	interpolated
10		4	interpolated
11		5	interpolated
12		6	interpolated
13	V	7	interpolated
14	V	8	interpolated
15	V	9	interpolated
16	V	10	interpolated
17	V	11	interpolated
18	V	12	interpolated
19	V	13	interpolated
20	V	14	interpolated
21	V	15	interpolated
22	V	16	interpolated
23	V	17	interpolated
24	V	18	interpolated
25	V	19	interpolated
26	V	20	interpolated
27	V	21	interpolated
28	V	22	interpolated
29	V	23	interpolated
30	V	24	interpolated
31	V	25	interpolated
32	V	26	interpolated
33	V	27	interpolated
34	V	28	interpolated
35	V	29	interpolated
36	V	30	interpolated
37	VI	31	interpolated
38	VI	32	interpolated
39	VI	33	interpolated
40	VI	34	interpolated
41	VI	35	interpolated
42	VI	36	interpolated
43	VI	37	interpolated
44	VI	38	interpolated
45	VI	39	interpolated
46	VI	40	interpolated
47	VI	41	interpolated
48	VI	42	interpolated
49	VI	43	interpolated
50	VI	44	interpolated
51	VI	45	interpolated
52	VI	46	interpolated
53	VI	47	interpolated
54	VI	48	interpolated
55	VI	49	interpolated
56	VI	50	interpolated
57	VI	51	interpolated
58	VI	52	interpolated
59	VI	53	interpolated
60	VI	54	interpolated
61	VI	55	interpolated
62	VI	56	interpolated
63	VI	57	interpolated
64	VI	58	interpolated
65	VI	59	interpolated
66	VI	60	interpolated
67	VI	61	interpolated
68	VI	62	interpolated
69	VI	63	interpolated
70	VI	64	interpolated
71	VI	65	interpolated
72	VI	66	interpolated
73	VII	67	interpolated
74	VII	68	interpolated
75	VII	69	interpolated
76	VII	70	interpolated
77	VII	71	interpolated
78	VII	72	interpolated
79	VII	73	interpolated
80	VII	74	interpolated
81	VII	75	interpolated
82	VII	76	interpolated
83	VII	77	interpolated
84	VII	78	interpolated
85	VII	79	interpolated
86	VII	80	interpolated
87	VII	81	interpolated
88	VII	82	interpolated
89	VII	83	interpolated
90	VII	84	interpolated
91	VII	85	interpolated
92	VII	86	interpolated
93	VII	87	interpolated
94	VII	88	interpolated
95	VII	89	interpolated
96	VII	90	interpolated
97	VII	91	interpolated
98	VII	92	interpolated
99	VII	93	interpolated
100	VII	94	interpolated
101	VII	95	interpolated
102	VII	96	interpolated
103	VII	97	interpolated
104	VII	98	interpolated
105	VII	99	interpolated
106	VIII	100	interpolated
107	VIII	101	interpolated
108	VIII	102	interpolated
109	VIII	103	interpolated
110	VIII	104	interpolated
111	VIII	105	interpolated
112	VIII	106	interpolated
113	VIII	107	interpolated
114	VIII	108	interpolated
115	VIII	109	interpolated
116	VIII	110	interpolated
117	VIII	111	interpolated
118	VIII	112	interpolated
119	VIII	113	interpolated
120	VIII	114	interpolated
121	VIII	115	interpolated
122	VIII	116	interpolated
123	VIII	117	interpolated
124	VIII	118	interpolated
125	VIII	119	interpolated
126	VIII	120	interpolated
127	VIII	121	interpolated
128	VIII	122	interpolated
129	VIII	123	interpolated
130	VIII	124	interpolated
131	VIII	125	interpolated
132	VIII	126	interpolated
133	VIII	127	interpolated
134	VIII	128	interpolated
135	VIII	129	interpolated
136	VIII	130	interpolated
137	VIII	131	interpolated
138	VIII	132	interpolated
139	VIII	133	interpolated
140	VIII	134	interpolated
141	VIII	135	interpolated
142	VIII	136	interpolated
143	IX	137	interpolated
144	IX	138	interpolated
145	IX	139	interpolated
146	IX	140	interpolated
147	IX	141	interpolated
148	IX	142	interpolated
149	IX	143	interpolated
150	IX	144	interpolated
151	IX	145	interpolated
152	IX	146	interpolated
153	IX	147	interpolated
154	IX	148	interpolated
155	IX	149	interpolated
156	IX	150	interpolated
157	IX	151	interpolated
158	IX	152	interpolated
159	IX	153	interpolated
160	IX	154	interpolated
161	IX	155	interpolated
162	IX	156	interpolated
163	IX	157	interpolated
164	IX	158	interpolated
165	IX	159	interpolated
166	IX	160	interpolated
167	IX	161	interpolated
168	IX	162	interpolated
169	IX	163	interpolated
170	IX	164	interpolated
171	IX	165	interpolated
172	IX	166	interpolated
173	IX	167	interpolated
174	IX	168	interpolated
175	IX	169	interpolated
176	IX	170	interpolated
177	IX	171	interpolated
178	IX	172	interpolated
179	IX	173	interpolated
180	IX	174	interpolated
181	IX	175	interpolated
182	IX	176	interpolated
183	IX	177	interpolated
184	IX	178	interpolated
185	IX	179	interpolated
186	IX	180	interpolated
187	IX	181	interpolated
188	IX	182	interpolated
189	IX	183	interpolated
190	IX	184	interpolated
191	IX	185	interpolated
192	IX	186	interpolated
193	IX	187	interpolated
194	IX	188	interpolated
195	IX	189	interpolated
196	IX	190	interpolated
197	IX	191	interpolated
198	IX	192	interpolated
199	IX	193	interpolated
200	IX	194	interpolated
201	IX	195	interpolated
202	IX	196	interpolated
203	IX	197	interpolated
204	IX	198	interpolated
205	IX	199	interpolated
206	IX	200	interpolated
207	IX	201	interpolated
208	IX	202	interpolated
209	IX	203	interpolated
210	IX	204	interpolated
211	IX	205	interpolated
212	IX	206	interpolated
213	IX	207	interpolated
214	IX	208	interpolated
215	IX	209	interpolated
216	IX	210	interpolated
217	IX	211	interpolated
218	IX	212	interpolated
219	IX	213	interpolated
220	IX	214	interpolated
221	IX	215	interpolated
222	IX	216	interpolated
223	IX	217	interpolated
224	IX	218	interpolated
225	IX	219	interpolated
226	IX	220	interpolated
227	IX	221	interpolated
228	IX	222	interpolated
229	IX	223	interpolated
230	IX	224	interpolated
231	IX	225	interpolated
232	IX	226	interpolated
233	IX	227	interpolated
234	IX	228	interpolated
235	IX	229	interpolated
236	IX	230	interpolated
237	IX	231	interpolated
238	IX	232	interpolated
239	IX	233	interpolated
240	IX	234	interpolated
241	IX	235	interpolated
242	IX	236	interpolated
243	IX	237	interpolated
244	IX	238	interpolated
245	IX	239	interpolated
246	IX	240	interpolated
247	IX	241	interpolated
248	IX	242	interpolated
249	IX	243	interpolated
250	IX	244	interpolated
251	IX	245	interpolated
252	IX	246	interpolated
253	IX	247	interpolated
254	IX	248	interpolated
255	IX	249	interpolated
256	IX	250	interpolated
257	IX	251	interpolated
258	IX	252	interpolated
259	IX	253	interpolated
260	IX	254	interpolated
261	IX	255	interpolated
262	IX	256	interpolated
263	IX	257	interpolated
264	IX	258	interpolated
265	IX	259	interpolated
266	IX	260	interpolated
267	IX	261	interpolated
268	IX	262	interpolated
269	IX	263	interpolated
270	IX	264	interpolated
271	IX	265	interpolated
272	IX	266	interpolated
273	IX	267	interpolated
274	IX	268	interpolated
275	IX	269	interpolated
276	IX	270	folio
277	IX	271	interpolated
278	IX	272	interpolated
279	IX	273	interpolated
280	X	274	interpolated
281	X	275	interpolated
282	X	276	interpolated
283	X	277	interpolated
284	X	278	interpolated
285	X	279	interpolated
286	X	280	interpolated
287	X	281	interpolated
288	X	282	interpolated
289	X	283	interpolated
290	X	284	interpolated
291	X	285	interpolated
292	X	286	interpolated
293	X	287	interpolated
294	X	288	interpolated
295	X	289	interpolated
296	X	290	interpolated
297	X	291	interpolated
298	X	292	interpolated
299	X	293	interpolated
300	X	294	interpolated
301	X	295	interpolated
302	X	296	interpolated
303	X	297	interpolated
304	X	298	interpolated
305	X	299	interpolated
306	X	300	interpolated
307	X	301	interpolated
308	X	302	interpolated
309	X	303	interpolated
310	X	304	interpolated
311	X	305	interpolated
312	X	306	interpolated
313	X	307	interpolated
314	X	308	interpolated
315	X	309	interpolated
316	X	310	interpolated
317	X	311	interpolated
318	X	312	interpolated
319	X	313	interpolated
320	X	314	interpolated
321	X	315	interpolated
322	X	316	interpolated
323	X	317	interpolated
324	X	318	interpolated
325	X	319	interpolated
326	X	320	interpolated
327	X	321	interpolated
328	X	322	interpolated
329	X	323	interpolated
330	X	324	interpolated
331	X	325	interpolated
332	X	326	interpolated
333	X	327	interpolated
334	X	328	interpolated
335	X	329	interpolated
336	X	330	interpolated
337	X	331	interpolated
338	X	332	interpolated
339	X	333	interpolated
340	X	334	interpolated
341	X	335	interpolated
342	X	336	interpolated
343	X	337	interpolated
344	X	338	interpolated
345	X	339	interpolated
346	X	340	interpolated
347	X	341	interpolated
348	X	342	interpolated
349	X	343	interpolated
350	X	344	interpolated
