# Generated by bourbaki pagemap build. Do not edit.
# book=var-fr grammar=head-number pagination=continuous restarts=96 pdf_pages=190
pdf_page	chapter	page	confidence
1	1	3	interpolated
2	1	4	interpolated
3	1	5	interpolated
4	1	6	interpolated
5	1	7	interpolated
6	1	8	interpolated
7	1	9	interpolated
8	1	10	interpolated
9	1	11	interpolated
10	1	12	head
11	1	13	interpolated
12	1	14	interpolated
13	1	15	interpolated
14	1	16	interpolated
15	1	17	interpolated
16	1	18	interpolated
17	1	19	head
18	1	20	head
19	1	21	head
20	1	22	interpolated
21	1	23	interpolated
22	1	24	head
23	1	25	interpolated
24	1	26	interpolated
25	1	27	interpolated
26	1	28	interpolated
27	1	29	interpolated
28	1	30	interpolated
29	1	31	interpolated
30	1	32	interpolated
31	1	33	interpolated
32	1	34	interpolated
33	1	35	interpolated
34	1	36	head
35	1	37	interpolated
36	1	38	interpolated
37	1	39	interpolated
38	1	40	interpolated
39	1	41	interpolated
40	1	42	interpolated
41	1	43	interpolated
42	1	44	interpolated
43	1	45	interpolated
44	1	46	interpolated
45	1	47	interpolated
46	1	48	interpolated
47	1	49	interpolated
48	1	50	interpolated
49	1	51	interpolated
50	1	52	head
51	1	53	interpolated
52	1	54	interpolated
53	1	55	interpolated
54	1	56	interpolated
55	1	57	interpolated
56	1	58	interpolated
57	1	59	interpolated
58	1	60	interpolated
59	1	61	interpolated
60	1	62	interpolated
61	1	63	interpolated
62	1	64	interpolated
63	1	65	head
64	1	66	interpolated
65	1	67	head
66	1	68	interpolated
67	1	69	interpolated
68	1	70	interpolated
69	1	71	interpolated
70	1	72	interpolated
71	1	73	interpolated
72	1	74	interpolated
73	1	75	interpolated
74	1	76	interpolated
75	1	77	interpolated
76	1	78	interpolated
77	1	79	head
78	1	80	head
79	1	81	interpolated
80	1	82	interpolated
81	1	83	interpolated
82	1	84	head
83	1	85	interpolated
84	1	86	interpolated
85	1	87	interpolated
86	1	88	interpolated
87	1	89	head
88	1	90	interpolated
89	1	91	interpolated
90	1	92	interpolated
91	1	93	interpolated
92	1	94	interpolated
93	1	95	interpolated
94	1	96	interpolated
95	1	97	interpolated
96	2	6	interpolated
97	2	7	interpolated
98	2	8	head
99	2	9	interpolated
100	2	10	interpolated
101	2	11	head
102	2	12	interpolated
103	2	13	interpolated
104	2	14	interpolated
105	2	15	interpolated
106	2	16	interpolated
107	2	17	interpolated
108	2	18	interpolated
109	2	19	head
110	2	20	interpolated
111	2	21	interpolated
112	2	22	interpolated
113	2	23	head
114	2	24	interpolated
115	2	25	interpolated
116	2	26	interpolated
117	2	27	interpolated
118	2	28	interpolated
119	2	29	interpolated
120	2	30	interpolated
121	2	31	interpolated
122	2	32	interpolated
123	2	33	interpolated
124	2	34	interpolated
125	2	35	interpolated
126	2	36	interpolated
127	2	37	interpolated
128	2	38	interpolated
129	2	39	interpolated
130	2	40	interpolated
131	2	41	interpolated
132	2	42	interpolated
133	2	43	interpolated
134	2	44	interpolated
135	2	45	interpolated
136	2	46	interpolated
137	2	47	head
138	2	48	interpolated
139	2	49	head
140	2	50	interpolated
141	2	51	head
142	2	52	interpolated
143	2	53	interpolated
144	2	54	interpolated
145	2	55	head
146	2	56	interpolated
147	2	57	head
148	2	58	interpolated
149	2	59	interpolated
150	2	60	head
151	2	61	head
152	2	62	interpolated
153	2	63	head
154	2	64	interpolated
155	2	65	head
156	2	66	interpolated
157	2	67	interpolated
158	2	68	interpolated
159	2	69	interpolated
160	2	70	interpolated
161	2	71	head
162	2	72	interpolated
163	2	73	interpolated
164	2	74	interpolated
165	2	75	interpolated
166	2	76	head
167	2	77	interpolated
168	2	78	interpolated
169	2	79	interpolated
170	2	80	interpolated
171	2	81	interpolated
172	2	82	interpolated
173	2	83	interpolated
174	2	84	interpolated
175	2	85	interpolated
176	2	86	interpolated
177	2	87	interpolated
178	2	88	interpolated
179	2	89	interpolated
180	2	90	interpolated
181	2	91	interpolated
182	2	92	interpolated
183	2	93	interpolated
184	2	94	interpolated
185	2	95	interpolated
186	2	96	interpolated
187	2	97	interpolated
188	2	98	interpolated
189	2	99	head
190	2	100	interpolated
